#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4675.461685977304     All      0.8564030793838138        0.41464593934996685        1.2449080883678159         -0.088340303559432         
Zeropoint     AB|SDSS|SDSS_g            3578.0652829436754    All      -1.08301577817226         0.33238271029318867        -0.5200795496712275        0.43783309125748876        
Zeropoint     AB|SDSS|SDSS_i            5669.814481724471     All      1.0220529853732836        0.2174705258431331         -1.1155827224348027        -0.31186231026179756       
Zeropoint     AB|SDSS|SDSS_z            6740.936790674419     All      0.20091106350855975       0.03442529524324556        0.3898416852607934         -0.0368330480080083        
Check         All|All|All               All                   All      0.9963513500933973        0.9989244707295342         -0.0009124984774209755     0.0007974294282508884      
Lambda        AB|SDSS|SDSS_r            4675.461685977304     All      -0.0003551924595214603    -0.00013960207518900575    -0.0018934535685346894     -1.4271255555960223e-05    
Lambda        AB|SDSS|SDSS_g            3578.0652829436754    All      -0.0019242540006589298    0.0004256047096593916      -0.0021392961095709644     0.0006699593300674591      
Lambda        AB|SDSS|SDSS_i            5669.814481724471     All      -0.0002138766230831579    -3.869517845998558e-05     0.00013502407754872918     6.308786424995056e-05      
Lambda        AB|SDSS|SDSS_z            6740.936790674419     All      -9.654778059144998e-05    -1.673364092561115e-05     -0.00021008936642017933    1.6622767578590963e-05     
MWEBV         All|All|All               All                   All      -0.5985928887035312       -2.771493163906591         0.011055996737129552       -0.7072917275733137        
Redshift      All|All|All               All                   All      8.193253784974878         0.3640978807666784         3.6458874590725734         -2.3875144372362405        
