#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7855.844405710055    All      0.36808906822625376        -0.07767382939602996       0.07018562669178192        -0.14206757875098033       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6353.355358915388    All      1.1932773182077265         -0.1320930299827161        0.03733702459779481        -0.43005054586988434       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5355.102632713278    All      0.5850655688071599         0.4244069023189745         0.03682570005160289        -0.050688451329353686      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4344.657273463718    All      -1.1477609219075573        0.7833715607415748         -0.143598516299094         0.622625239712103          
Check         All|All|All                       All                  All      0.9986710333335831         0.9980116036818032         0.000749835042085617       -0.00018133623811533717    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7855.844405710055    All      -3.905519086955115e-06     9.330631663005488e-06      8.555904737236879e-05      8.129557081425123e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6353.355358915388    All      -0.00030673629188931805    -4.1699648676706185e-06    -0.00041495192378334576    8.0038408294244e-05        
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5355.102632713278    All      0.00012700702152946834     -4.466901821782178e-06     -0.0010586298815700433     -9.006717170239299e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4344.657273463718    All      -0.0005108973949350317     0.00017897644541468985     -0.0009979694179713307     0.0001801798143607978      
MWEBV         All|All|All                       All                  All      -0.8455808195467225        -4.052355776788463         0.016890590533307954       -1.0437983538562468        
Redshift      All|All|All                       All                  All      3.390069388641024          -0.00946710387239591       0.22869765266344222        -1.097135151172159         
