#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7855.844405710055    All      0.4038740718260052         -0.07704771462124782      0.27152577406681644       -0.14453509947885967      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6353.355358915388    All      1.225745205919553          -0.10570007827386263      0.5381923903385655        -0.40967847775799093      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5355.102632713278    All      0.4228769246130958         0.4123351748144266        -0.2553111099854455       -0.014827156959829058     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4344.657273463718    All      -1.0563861192173878        0.7705373915958269        -0.5413937421131276       0.5709291752911128        
Check         All|All|All                       All                  All      0.9961100831412664         1.000124773515143         0.0130133123068088        0.001888441094433091      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7855.844405710055    All      -4.7676877505616607e-07    1.9288313781728483e-06    2.120274170561637e-05     1.7297640934522663e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6353.355358915388    All      0.00017679900161858038     -3.151055130237476e-05    -2.542278035252861e-05    -6.898777649161289e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5355.102632713278    All      8.380681380066797e-05      0.000294831636410405      -0.0012678938494906904    1.215744795749591e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4344.657273463718    All      -0.0009660397671270573     0.0007350044787430057     -0.0004785398962910497    0.0005327310358560877     
MWEBV         All|All|All                       All                  All      -0.8020923411114103        -4.067985877097335        0.06200387118164841       -1.061042021379166        
Redshift      All|All|All                       All                  All      2.138600424817338          -3.0836986211494555       2.179493054268722         -1.6038138428442927       
