#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_B
@MAGSYS  Linear_AB11_off
52669.34  18.873  0.048
52670.29  18.625  0.064
52671.27  18.496  0.136
52672.29  18.208  0.028
52673.36  18.062  0.032
52675.33  17.914  0.034
52676.3  17.89  0.02
52678.3  17.974  0.022
52679.31  18.045  0.024
52680.24  18.235  0.039
52682.3  18.468  0.05
52688.31  19.24  0.189
52690.33  19.496  0.162
52691.29  19.845  0.16
52692.23  19.709  0.085
52693.26  19.748  0.067
52698.27  19.905  0.11
52700.25  20.016  0.057
52702.29  20.069  0.167
52704.21  20.17  0.085
52706.2  20.181  0.082
52708.25  20.491  0.116
