#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7369.063938848265    All      0.4369687787716705         -0.06414162282633029       0.1278504490431888         -0.15752276549807295      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4606.734778233314    All      -0.6393909915026006        0.4899467007258629         -0.2381150448120462        0.35723645963818024       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5361.836318292922    All      0.7338509727346129         0.2076565834851607         -0.020150978341880878      -0.1722980694730586       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4278.568881818924    All      -0.6969010524053386        0.4392327906253435         0.06858640628825759        0.37313686667497503       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6072.688041400379    All      1.1647220461073475         -0.07553436884784048       0.06344799417995296        -0.40116092500082556      
Check         All|All|All                      All                  All      0.9992497537056915         0.9971600831621963         0.0016188263574722639      -0.0006084336588018102    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7369.063938848265    All      -0.00012722458016649628    7.437931546192509e-07      -0.000265945052253913      2.981560298447213e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4606.734778233314    All      -0.00015305864016747328    -2.140469028633416e-05     -0.0009551239441155169     2.6122786231704146e-07    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5361.836318292922    All      0.00011432116642692302     -2.5267192978596198e-05    -0.0009344952991295929     -8.71707541974832e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4278.568881818924    All      -0.00020665412496734644    9.510214081199512e-05      -0.0002042197233125241     8.917855494642534e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6072.688041400379    All      -0.0001865577879257571     9.861417299441936e-07      -0.00028633426059238997    4.831144493633351e-05     
MWEBV         All|All|All                      All                  All      -0.8523038993352743        -3.990157227726421         0.017034180137011416       -1.0213419041408391       
Redshift      All|All|All                      All                  All      5.305267202059321          -0.5054508346802322        3.024500800631912          -1.7577724518087887       
