#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7369.063938848265    All      0.4204379894372976         -0.05901554927385533      0.26464669131868457        -0.14436382475586096       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4606.734778233314    All      -0.6451068039774303        0.4958174815261174        -0.42895349852713205       0.3524943505554823         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5361.836318292922    All      0.6733760269110454         0.2105767102305478        -0.004526803792018197      -0.15095097355048992       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4278.568881818924    All      -0.6726650879650617        0.4495766801873913        0.1016080229744476         0.3700853639413526         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6072.688041400379    All      1.2223968229093636         -0.09976550733785672      0.0679633763669002         -0.4276388754674121        
Check         All|All|All                      All                  All      0.9984389473152144         0.9971898153323444        0.0007377883408821173      -0.00037395927692807085    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7369.063938848265    All      -6.187214454563984e-05     -1.338006017945538e-05    -0.00029593746838089366    2.5891371980462615e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4606.734778233314    All      -0.00036333035203260205    0.00015323382648186633    -0.001023637058898802      0.00012258172685515717     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5361.836318292922    All      0.00031282893013026135     4.209524446597149e-05     -0.0008863901178193149     -0.00012774238821027233    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4278.568881818924    All      -0.0004517714579326115     0.0002744688863298734     -0.00014623101167173184    0.0002300347542877712      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6072.688041400379    All      4.248358718735753e-05      5.168574906658248e-07     -0.00022869748967915105    -2.3875663121412183e-05    
MWEBV         All|All|All                      All                  All      -0.8343888878830237        -3.9988127376113347       0.008290977951949663       -1.030386966041985         
Redshift      All|All|All                      All                  All      4.66213679910541           -2.2286999923101902       2.687924052361515          -2.124622539492532         
