#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -0.644840399117945         0.8506849980115305         1.97991911032215           0.5754965196233258         
Zeropoint     VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.9604084995226371        0.15093327422732727        -1.1289716480126366        0.31161975829714433        
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      2.6019820777276634         -0.003961200557434097      -0.8368284478392579        -0.8861852689378098        
Check         All|All|All                    All                   All      0.9967331790870813         0.9976570716814237         0.014119014470255542       0.0009310089826604084      
Lambda        VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -0.00025777148280130074    -0.00013581482780488597    -0.003717230063093422      -0.0001261576103085942     
Lambda        VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.0013014448585861055     0.00019440341150426464     -0.0016209337917646352     0.00041491216306795283     
Lambda        VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      0.0003913369318134628      -1.289468501498462e-06     -0.00012473487997540598    -0.00013345768041419931    
MWEBV         All|All|All                    All                   All      -0.05514537199394143       -1.4795634672351454        -2.8318468364519825e-05    -0.4639810993066352        
Redshift      All|All|All                    All                   All      2.692221892890459          1.339478392978144          7.351475371045418          -0.11257048015605609       
