#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F110W_faint
@MAGSYS  VEGAHST
53297.0  0.5495408738576253  0.03543005417343621  22.92
53305.799999999814  0.5345643593969718  0.03446448683547751  22.92
