#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -0.4428015739901039       0.825120422642911          1.921160697023269          0.498736486034268          
Zeropoint     VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.9529667692997763       0.16180070223725806        -0.9968682335975004        0.3186307894248133         
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      2.390716504129515         0.010858789405787661       -0.9014409074290713        -0.815425120208961         
Check         All|All|All                    All                   All      0.9949481608396349        0.9977799142859567         0.022851555996697304       0.0019421552501203143      
Lambda        VEGAHST|ACSWF|F850LP           4495.1963984844015    All      -0.0003076204436083096    -0.00015195352235392398    -0.003322189427419052      -9.754821833942168e-05     
Lambda        VEGAHST|ACSWF|F775W            3827.108905108565     All      -0.0012654087087696966    0.00017617373408543047     -0.0016799376251827609     0.0003946029277541006      
Lambda        VEGAHST|NICMOS2|F110W_faint    5745.023547979684     All      0.0003238630323949488     -6.84050498676276e-06      -0.00018839939646324603    -0.00011612842172546459    
MWEBV         All|All|All                    All                   All      -0.053155684141555026     -1.4796078553157344        0.004078897948006643       -0.46446037855221584       
Redshift      All|All|All                    All                   All      2.872006053261719         1.4572063189866924         7.025425254607084          -0.1473343564800833        
