#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R             6267.303941318523    All      1.0999200994572254         -1.1148219108622293        -1.0665849878742624        -0.769011124970107         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I             8098.50523846679     All      0.16160766459010742        0.12180379754020976        0.2762652120706989         -0.0006369814319908445     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.063060020449    All      0.18033524061154926        0.4983321199042656         -0.25391451121736086       0.09225100692375829        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.455092772502    All      0.020849074016637215       0.5014576056692199         0.00697351442512231        0.15686120623088748        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B             4260.428026270991    All      -0.9426837391483283        -0.004078889396108565      -0.24283682800056924       0.294897786422196          
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.110850968359    All      0.05533573758339075        -0.04619991358074671       -0.09299750080707554       -0.03722355334681004       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7516.148855733813    All      0.30647036522175375        -0.5721928085876904        0.5029044110286954         -0.2637671887617306        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V             5258.692850942054    All      0.14511572183925114        1.6847889471990563         0.9196436445050339         0.5425616953280114         
Check         All|All|All                                All                  All      1.0269501641715864         1.0690889478859766         0.04945295413028261        0.01593284639421466        
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R             6267.303941318523    All      -0.0003087177190258908     -0.00014883215682035325    -0.0009161391478602041     1.1196905195012905e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I             8098.50523846679     All      1.3058894589102441e-05     1.0099231871000395e-05     2.204805431288554e-05      1.984388363624533e-08      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.063060020449    All      -1.8465322919144455e-05    -4.852160666611505e-05     2.753398180917803e-05      -8.561605289613422e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.455092772502    All      2.3121472251966778e-05     0.0005157987953128592      7.076972216823585e-06      0.00016079702549009683     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B             4260.428026270991    All      -0.0007262072132353419     9.185018666018358e-05      -0.0002011054453856942     0.0002574937960513633      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.110850968359    All      2.507662912087616e-06      -2.0810660401097623e-06    -4.0128874687918284e-06    -1.6737767216357847e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7516.148855733813    All      -0.0001267054394598199     0.00023589478020350055     -0.00020898818496243001    0.00010878463789038031     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V             5258.692850942054    All      -0.00013551471357908058    0.0012944952540987012      -0.0005074871473398248     0.0004431544718215719      
MWEBV         All|All|All                                All                  All      -0.83360929656209          -4.092554754190392         0.12775140806775953        -1.0558447930693873        
Redshift      All|All|All                                All                  All      8.246583654985383          -8.78036740129744          -0.9301570387624225        -5.587746765665562         
