#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R             6267.303941318523    All      1.2493559964784198        -0.413538697635385         -0.4749492290775814       -0.5628543122141477        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I             8098.50523846679     All      0.19039968439632637       0.05929454250663824        0.2500747262261793        -0.03154557146472364       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.063060020449    All      0.0901700016496855        0.054003507910938          -0.34609139041597015      -0.027225086067014792      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.455092772502    All      -0.09219549236055408      0.37634699383444215        -0.03339766560286339      0.15112931791772116        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B             4260.428026270991    All      -0.7212562370476615       0.20036602972881568        -0.019156295375699628     0.29934783528013237        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.110850968359    All      0.040029162576186494      -0.05334041185118821       -0.08005116070899376      -0.03398585779951363       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7516.148855733813    All      0.3936033271209621        -0.3819028314306472        0.2677973527791755        -0.2406573033292711        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V             5258.692850942054    All      -0.1493792797846485       1.1567325846555399         0.4261675802448073        0.4444615058416049         
Check         All|All|All                                All                  All      1.000727163028716         0.9979617177191535         -0.009606081930946253     -0.0013294718352124257     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R             6267.303941318523    All      -0.000213207050124388     -3.8391706723449814e-05    -0.0002322261359306038    4.657992272913533e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I             8098.50523846679     All      4.0056515869466965e-06    5.48201475307457e-06       1.121782522439138e-05     9.81500072270193e-07       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.063060020449    All      -1.478811266935618e-05    -5.387578540891709e-05     6.189276314659537e-05     -9.970151201458419e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.455092772502    All      -0.0001221091160947829    0.00031822138993680896     3.969406836003883e-05     0.00014520149622049421     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B             4260.428026270991    All      -0.0007409782336481197    0.00028114810449582036     -6.756916542075248e-05    0.00032992487377240946     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.110850968359    All      2.390913776522114e-06     -5.055797908769467e-06     -1.073735600341292e-05    -2.9047978689769225e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7516.148855733813    All      -0.000136858221754862     0.00014062622658513556     -8.806330233682756e-05    8.645595306835576e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V             5258.692850942054    All      -0.0003202658877121278    0.0007793414592032799      -0.0009083577747824253    0.0003176424533453471      
MWEBV         All|All|All                                All                  All      -0.8100178145993366       -4.08186169815874          0.0963190595538288        -1.0614489160913774        
Redshift      All|All|All                                All                  All      11.144432520196153        -7.0688817153678585        0.09298410299267701       -5.928526193307497         
