#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.544592747430996         0.26909120141098697       -0.07345765916923859       0.26176555359472226       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      0.29301658603325564        -0.04302364086514743      0.1365586149677986         -0.10336537350091682      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.31262648564967005       0.3089115237150608        -0.07259690259699494       0.1992157113058445        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -0.16294362558876696       0.10275425521690806       0.08687883336589972        0.09042354429211834       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      1.2115959614287548         0.12099295938519106       0.08551099929121861        -0.35142931437806735      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5318.144716787369     All      0.50989716051359           0.24306207983979533       -0.1615060209224351        -0.09412423633230237      
Check         All|All|All                              All                   All      0.9943468493061672         1.0017883787027948        0.0013878649362483175      0.002485884981398581      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.495217681854     All      -0.0005194277136613771     0.00026106723879853604    -0.0006365746730551811     0.00022582547956070143    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7526.826096453966     All      -2.881552700455735e-05     -2.2869424638421e-05      -0.00011597864008248665    -3.23875287464636e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3557.7813617867155    All      -0.0008130598087128231     0.0008000973165728495     -0.0002384401892150822     0.0005148178564700998     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4755.785697833666     All      -0.00018844628766931254    1.526967695125017e-05     -0.0009222319400905768     2.5202015904936056e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.141884383382     All      -0.00011416006707062282    0.00011474151083999066    -0.0005763310362882383     4.884176740688105e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5318.144716787369     All      0.00019429654512091824     0.00014736723387861352    -0.0016981149671961519     -9.106549242611647e-05    
MWEBV         All|All|All                              All                   All      -1.0608328940164933        -3.8886684579370723       -0.0141224014798113        -0.9217492941118285       
Redshift      All|All|All                              All                   All      8.945546650546586          -2.0520291068884866       15.243120480228017         -2.9020417757797503       
