#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3814.348058378737    All      -0.9608474169544399        0.5323952195404047         0.29816161511154016        0.4997038364055784         
Zeropoint     AB|SDSS|SDSS_z            7186.084413196973    All      0.13787044271325047        0.014535684825389694       0.20937627094841008        -0.030830686895090748      
Zeropoint     AB|SDSS|SDSS_r            4984.212638305973    All      0.5232947613038954         0.3251887865017622         -1.0422643038813664        -0.11104110242145943       
Zeropoint     AB|SDSS|SDSS_i            6044.228975593517    All      1.2975246728730538         0.12696378068000058        0.5392176065979359         -0.35722738765118445       
Check         All|All|All               All                  All      0.9978424599357599         0.9990834715475572         0.004491188776519772       0.0006046594378437686      
Lambda        AB|SDSS|SDSS_g            3814.348058378737    All      -0.001234645940066622      0.0005660922273780175      -0.0006407737560925983     0.0005579648738957503      
Lambda        AB|SDSS|SDSS_z            7186.084413196973    All      -3.205621345660594e-05     -3.861038170463401e-06     -5.757458904893126e-05     6.614806705680441e-06      
Lambda        AB|SDSS|SDSS_r            4984.212638305973    All      -0.00021624180483515077    -5.503809266643094e-05     -0.0018037318926874787     -2.7982917631747478e-05    
Lambda        AB|SDSS|SDSS_i            6044.228975593517    All      -5.6975533436991196e-05    -1.3143271110838065e-05    -0.00022959594803147017    4.0317972136292235e-06     
MWEBV         All|All|All               All                  All      -0.559531854192493         -3.0706336102465315        0.0840111140646854         -0.814199424569113         
Redshift      All|All|All               All                  All      4.587894069294311          0.5825711888403973         7.093300481643263          -0.9881240112276181        
