#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3814.348058378737    All      -0.969197645349039         0.5063832789037548         0.1723079358283197         0.4883345639939002         
Zeropoint     AB|SDSS|SDSS_z            7186.084413196973    All      0.13389376799963643        0.01295093325133223        0.19949234502736335        -0.030492633055229784      
Zeropoint     AB|SDSS|SDSS_r            4984.212638305973    All      0.5296686454626656         0.35481207255081415        -1.0299287187843564        -0.10291752683560529       
Zeropoint     AB|SDSS|SDSS_i            6044.228975593517    All      1.3040150382220597         0.12472148907445302        0.6638867727757569         -0.35450848901541626       
Check         All|All|All               All                  All      0.9983798063353225         0.9988677737803542         0.005758334847083546       0.0004159150876488771      
Lambda        AB|SDSS|SDSS_g            3814.348058378737    All      -0.0011584151435052445     0.00044426694494149264     -0.0010973341799922149     0.0004730772983022162      
Lambda        AB|SDSS|SDSS_z            7186.084413196973    All      -3.6154314817177853e-05    -4.722699164310073e-06     -7.443996323910451e-05     6.9163976186027554e-06     
Lambda        AB|SDSS|SDSS_r            4984.212638305973    All      -0.00024275981933309383    -7.132927961620934e-05     -0.0019099187374623575     -2.9390334630442515e-05    
Lambda        AB|SDSS|SDSS_i            6044.228975593517    All      -0.0001777654089955001     -2.9379527428742646e-05    -0.00032967796494389894    3.3622149957473384e-05     
MWEBV         All|All|All               All                  All      -0.5601238429867301        -3.066571718470712         0.11567362891369282        -0.811270549942282         
Redshift      All|All|All               All                  All      4.607300111591535          0.931411645019864          7.967902036320873          -0.8417869340702641        
