#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8208.754458116675    All      0.33042803154331296        -0.06559253956144317       0.3347850033420378         -0.11405701161136708      
Zeropoint     AB|PS|PS_i                7142.742889556671    All      0.7687385803585397         -0.12219974460290217       0.5234894916158186         -0.266846991729666        
Zeropoint     AB|PS|PS_g                4643.684504768388    All      -1.0530768793716614        1.1019786760321004         0.3688105109819891         0.718430812836578         
Zeropoint     AB|PS|PS_r                5897.164080275955    All      0.9522785977068642         0.08452803890470761        -1.2281925065258168        -0.337463495829379        
Check         All|All|All               All                  All      0.9983683302370556         0.9987144307724627         -0.0011075005859713105     6.331366616579848e-05     
Lambda        AB|PS|PS_z                8208.754458116675    All      0.0001716972221024292      -2.9736626163880506e-05    0.0002558977845003669      -5.419408853086627e-05    
Lambda        AB|PS|PS_i                7142.742889556671    All      -0.00046015429970510475    4.214642025430429e-05      -0.0012426208394451632     0.00010816340878026767    
Lambda        AB|PS|PS_g                4643.684504768388    All      -0.00012684020309845195    -5.708553170264325e-05     -0.00041937070101192924    4.006803047939544e-06     
Lambda        AB|PS|PS_r                5897.164080275955    All      -0.00021036610146327184    -1.8033190063249653e-06    -0.0009431927549047841     2.5845399034199164e-05    
MWEBV         All|All|All               All                  All      -0.6570435563613581        -3.896651666742912         0.13975905359365762        -1.0490101368205937       
Redshift      All|All|All               All                  All      6.371601402401419          -0.2577480944248478        10.84685486196584          -1.675351915549494        
