#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8208.754458116675    All      0.23573597199542534        -0.0533214219727185        0.2384226093674391         -0.08351579690058786      
Zeropoint     AB|PS|PS_i                7142.742889556671    All      0.7599763039978409         -0.12486436973544457       0.5810317568180512         -0.262292939103978        
Zeropoint     AB|PS|PS_g                4643.684504768388    All      -0.9549405064233434        1.0867494163281144         0.43019752847464066        0.6842433173135126        
Zeropoint     AB|PS|PS_r                5897.164080275955    All      0.9006727657225826         0.09981649431622941        -1.2321378708642028        -0.3158498891578987       
Check         All|All|All               All                  All      0.9414445352925054         1.0083801189361807         0.017514023795928146       0.02258469215104808       
Lambda        AB|PS|PS_z                8208.754458116675    All      0.00013379839387843263     -2.9735072802908148e-05    -0.00010063603581776655    -5.775915426331427e-05    
Lambda        AB|PS|PS_i                7142.742889556671    All      -0.000421878071675998      1.852835122218443e-05      -0.0007779034745386236     0.00010874060159165833    
Lambda        AB|PS|PS_g                4643.684504768388    All      -0.00027941764103496807    0.00019165545689106298     -0.0001472038315953303     0.00014687497491774293    
Lambda        AB|PS|PS_r                5897.164080275955    All      -6.924347290706548e-05     4.779559949897342e-05      -0.0007376064954283078     5.207486166892743e-06     
MWEBV         All|All|All               All                  All      -0.6481484109661451        -3.9031276280026894        0.17490714531296359        -1.0524485140484263       
Redshift      All|All|All               All                  All      5.73105270792422           -1.3138618226963494        7.7736674404801365         -1.9478573587214303       
