#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7712.332893275068     All      0.16843081443073007        -0.05281428975072444      0.06641071810931383        -0.06910320384380408       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5235.200775674161     All      0.1954088048269567         0.3809088110921621        0.037988723411906206       0.062118717059490756       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5310.509433896703     All      0.1808424530558283         0.18392190535818642       -0.355565106408395         -0.014864158721691206      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4250.383019649709     All      -0.3947732695791582        0.29861054672197795       0.14853859421611113        0.23248651586604022        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4244.833020916023     All      -0.41505356116460973       0.21313781327787495       -0.23363852696621634       0.19419638314270785        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7661.975645710326     All      0.21652652548181953        -0.0591414036708926       0.361178484945476          -0.07367637678018955       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6355.275343252551     All      0.6812695136869961         -0.0062107653262089       0.6197272679825842         -0.19627936263830326       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3532.0901492545686    All      -0.1466859187919734        0.08780509867287734       0.0751013578905297         0.07973286758822584        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6346.563394271532     All      0.5089231530960081         -0.04861865211829297      -0.7190188410282888        -0.21369621707986214       
Check         All|All|All                                     All                   All      0.9948885150425976         0.9975990642569599        0.000722672153020909       0.0009151645926143703      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7712.332893275068     All      -2.6021645821742984e-05    7.121433080267531e-06     -1.4892395080090583e-05    1.0131211979165507e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5235.200775674161     All      5.488719684284708e-05      8.030913051671749e-05     -0.00035103232898747185    -7.384200455183466e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5310.509433896703     All      -1.977479406118651e-05     9.299896321487987e-05     -0.0009587556160344462     -6.0507368471181635e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4250.383019649709     All      -0.0002452299041883354     9.091623368930815e-05     -0.0002968324427581738     9.624758736800448e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4244.833020916023     All      -0.0002638426349426299     9.623134804471254e-05     -0.00048084222701808016    9.583016217780635e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7661.975645710326     All      -6.151323952250984e-05     1.9504776891226736e-05    -0.00010831971187359977    2.1556422113046714e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6355.275343252551     All      -0.00018488932856273587    3.186403502193968e-05     -0.00030045928438878795    5.719558359068782e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3532.0901492545686    All      -0.00030533653254017387    0.00018087990701788026    9.937188067427501e-05      0.0001628112010457426      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6346.563394271532     All      -0.00017386217831599958    2.2509809446527903e-05    -0.0004120454755857623     4.557711974178438e-05      
MWEBV         All|All|All                                     All                   All      -0.8970303078781927        -3.907829319046918        0.10990624510325481        -0.9758116793451399        
Redshift      All|All|All                                     All                   All      6.989483007937657          -1.506079823117723        7.654783082975819          -2.425686497943874         
