#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA2_FLWO
@BAND  CfA2_4Sh3_Harris_B
@MAGSYS  Linear_AB11_off
51676.35000000009  17.254  0.018
51677.299999999814  17.298  0.017
51679.279999999795  17.438  0.017
51688.310000000056  18.41  0.036
51691.29000000004  18.817  0.036
51693.330000000075  18.961  0.082
51695.22999999998  19.26  0.057
51696.279999999795  19.39  0.063
51730.169999999925  20.682  0.198
