#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7712.332893275068     All      0.1837799666014974         -0.05627051468017896      0.011689633824901735       -0.07767068451064         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5235.200775674161     All      0.2014457728250041         0.3915545462123582        0.15316526570214317        0.06875974423079731       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5310.509433896703     All      0.1477029981227394         0.19484860925516045       -0.571873616179186         -0.010163216379194609     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4250.383019649709     All      -0.4020065472185014        0.3172047212538054        0.3215500829678253         0.24862007486609083       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4244.833020916023     All      -0.40531599670380236       0.216893194188561         -0.22078342398907935       0.1928214533569575        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7661.975645710326     All      0.22842983993509483        -0.07866088771741886      0.37544088656253916        -0.08327535055161102      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6355.275343252551     All      0.6964312578743489         -0.0485063178306433       0.6847919076360343         -0.21209155842308         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3532.0901492545686    All      -0.1366752025316203        0.08293894855739836       0.10403279413808142        0.07617805989769896       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6346.563394271532     All      0.4805998085620944         -0.023989993034767565     -0.857070639859292         -0.20260862516533715      
Check         All|All|All                                     All                   All      0.9943918974668551         0.9960123062042747        0.0009428908039676998      0.0005698973216818615     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7712.332893275068     All      -2.8607618903440537e-05    9.598645687145293e-06     -2.87680292903687e-05      1.1161252305474047e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5235.200775674161     All      5.9926414417300005e-05     5.533653359501718e-05     -0.0002744066839397185     -1.374058518632712e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5310.509433896703     All      -8.34309675637839e-06      0.00010274561051124233    -0.001002103818997482      -8.534044278512817e-06    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4250.383019649709     All      -0.0002671124527124094     0.00010189690223357189    -0.0003191193863809111     0.00010595765440123662    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4244.833020916023     All      -0.0002636753498603347     8.531238983846075e-05     -0.0005068536998794527     9.105823544472652e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7661.975645710326     All      -6.518388342265686e-05     2.3013957709178666e-05    -0.00010784244725179551    2.3916425361022652e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6355.275343252551     All      -0.00018300864750406438    3.666548900212482e-05     -0.0002889484056337358     5.866065307308384e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3532.0901492545686    All      -0.00029091501659508245    0.00017217142611879928    0.00011275233269661755     0.00015587410823886591    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6346.563394271532     All      -0.000153409647609957      1.2043048746882215e-05    -0.00024934214849258037    4.276639153529502e-05     
MWEBV         All|All|All                                     All                   All      -0.8967502261089266        -3.908693893357551        0.11758605496083874        -0.9758418168465763       
Redshift      All|All|All                                     All                   All      6.9382821682162135         -1.3542543083855385       7.278142260517428          -2.376361884987252        
