#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8374.483204837768    All      0.25394188311831073        -0.07297079886683377       0.17653154757156786       -0.09860842344229306       
Zeropoint     AB|PS|PS_r                6016.223508502172    All      1.0348936215903115         0.06721285012485367        -1.7035651869553914       -0.3912277531199826        
Zeropoint     AB|PS|PS_i                7286.949642636823    All      0.7462929261674227         -0.16226676695403341       0.9701151732376068        -0.2526559981719557        
Zeropoint     AB|PS|PS_g                4737.437097451005    All      -1.0376036871645191        1.1658639443821173         0.5558162187145332        0.742545424596263          
Check         All|All|All               All                  All      0.9975247437115259         0.9978392286861038         -0.001102247431683523     5.3249862031701234e-05     
Lambda        AB|PS|PS_z                8374.483204837768    All      0.0003040115566071842      -9.425697999570469e-05     7.142184018579158e-05     -0.0001265419363183829     
Lambda        AB|PS|PS_r                6016.223508502172    All      -2.8638620534502196e-05    -3.6448476133465204e-06    -0.0003960610616617023    -9.533092028175096e-06     
Lambda        AB|PS|PS_i                7286.949642636823    All      -0.0001886537369078494     3.0417612338246603e-05     -0.0006144367824361966    4.393925408870914e-05      
Lambda        AB|PS|PS_g                4737.437097451005    All      -0.000139069061297758      -3.993483522789646e-05     -0.0007608937537546456    -1.6639147213436273e-06    
MWEBV         All|All|All               All                  All      -0.6889004348686631        -4.006912508460836         0.17917529940431054       -1.0727899210338052        
Redshift      All|All|All               All                  All      3.745816239053675          1.0430040735069035         8.78053944040218          -0.48855969453148945       
