#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8374.483204837768    All      0.29016664704525086        -0.08261852913751255       0.23286985186364806       -0.11103648419460706       
Zeropoint     AB|PS|PS_r                6016.223508502172    All      0.9602218475838438         0.09450114580822344        -2.006016262297582        -0.3715130064203222        
Zeropoint     AB|PS|PS_i                7286.949642636823    All      0.7867236008178269         -0.16783633907326845       1.1710622017432903        -0.2586724489421057        
Zeropoint     AB|PS|PS_g                4737.437097451005    All      -1.0378926297881759        1.1527955668933387         0.6090543989372359        0.7407585176989954         
Check         All|All|All               All                  All      0.999219465658746          0.9968418444907812         0.006970190246592178      -0.00046342185803960323    
Lambda        AB|PS|PS_z                8374.483204837768    All      0.00032482347261546615     -8.528202470275524e-05     8.176478144901091e-05     -0.0001299360658826407     
Lambda        AB|PS|PS_r                6016.223508502172    All      -0.0001232962413276522     -1.4567471827417224e-05    -0.0005686066895025847    1.0042232260058911e-05     
Lambda        AB|PS|PS_i                7286.949642636823    All      -0.00024521065882681016    5.6434964470062946e-05     -0.0010872331403549548    4.9737681781187064e-05     
Lambda        AB|PS|PS_g                4737.437097451005    All      -0.00011249485049289959    -0.0001124944762860046     -0.0006789387274760094    -3.0297795262970133e-05    
MWEBV         All|All|All               All                  All      -0.6793934587855612        -4.008075141661482         0.22623237176028252       -1.0741654227833102        
Redshift      All|All|All               All                  All      4.243118710486852          1.2815795368190663         9.929720140788458         -0.5215529362800546        
