#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5910.568150849953    All      3.602207318958841         -0.578493376860223        1.3729144171559682        -1.3005248927259598       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4935.752209274206    All      -2.6105819261821472       1.5781635797790017        -1.4143652702048204       1.301295590860941         
Check         All|All|All                            All                  All      0.991625392776694         0.9996702029187787        -0.04145085304885221      0.000770698134981096      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5910.568150849953    All      -0.0005750651183941408    0.00017664987737182748    0.00021761649510066667    0.0002545695295096937     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4935.752209274206    All      -0.00103967195705017      0.00020146159652488846    -0.0019778228050018423    0.00031601688250482287    
MWEBV         All|All|All                            All                  All      -0.4159407961346422       -2.775776911126826        -0.03908200436928411      -0.7704203093129562       
Redshift      All|All|All                            All                  All      5.066656501858146         1.3112797609597493        9.961241697540224         -0.7787252861027316       
