#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4001.056933097168    All      -2.805396399757166        0.4927280748772134        0.5808643482780429        1.1002289545109027         
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4862.077486036586    All      3.714501718522915         0.49122415008273634       -0.6539152956133609       -1.0791087830420878        
Check         All|All|All                         All                  All      0.9091053187657492        0.9839522249599497        -0.07305094733531803      0.021120171468814952       
Lambda        Linear_AB11_off|Knop|Bessell12_R    4001.056933097168    All      -0.0023039549021695582    0.00014608126993158877    -0.0008667945784805069    0.0007593763240551523      
Lambda        Linear_AB11_off|Knop|Bessell12_I    4862.077486036586    All      0.0005856531000459357     2.1391358164476077e-05    -0.0009162203843769175    -0.00022468532069742583    
MWEBV         All|All|All                         All                  All      -0.09921604217423652      -2.0589499995891103       -0.06755514535103924      -0.6413644991296307        
Redshift      All|All|All                         All                  All      1.9060444776415555        -0.05402971060668449      1.8078865624088891        -0.5577829736802027        
