#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4001.056933097168    All      -2.7756687735411876      0.4590580489086449         -0.3566488073426857       1.0377413471804184         
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4862.077486036586    All      3.7685817004922226       0.5431743822439827         0.35863226843416496       -1.0346171653005731        
Check         All|All|All                         All                  All      0.9929129269510352       1.0022324311526276         0.0019834610914792328     0.0031241818798453114      
Lambda        Linear_AB11_off|Knop|Bessell12_R    4001.056933097168    All      -0.002163585718636882    0.0001013417898800619      -0.001249884489403373     0.0006819847991754665      
Lambda        Linear_AB11_off|Knop|Bessell12_I    4862.077486036586    All      0.0005922370575689442    -1.3241749317864165e-05    -0.0019568433776748547    -0.00028454929955318026    
MWEBV         All|All|All                         All                  All      -0.07799985830964618     -2.054544493398325         0.008035608414129031      -0.6434670217380922        
Redshift      All|All|All                         All                  All      2.5788110183024076       -0.0035852824568749497     4.50961840711359          -0.6399278758907886        
