#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_i          5065.885526483192    All      0.45562426224477515        0.24843239354623847       0.08699424975573411        -0.06360705422866486       
Zeropoint     AB|DECam|DECam_g          3137.433179976431    All      -0.2968716111588747        0.07469581913053247       -0.17097015483082956       0.11340212347804024        
Zeropoint     AB|DECam|DECam_z          5936.472774881243    All      1.318524547403971          0.24120007402714805       1.0802341397284865         -0.30271413558111415       
Zeropoint     AB|DECam|DECam_r          4169.881773432093    All      -0.4876301413114067        0.4343547759555477        -0.9887755080083105        0.25619631031590095        
Check         All|All|All               All                  All      0.9896470571784648         0.9986830626594667        0.00748272664508054        0.0032772439841621814      
Lambda        AB|DECam|DECam_i          5065.885526483192    All      -0.00015625834683921302    -7.674267275948764e-06    -0.0014921612341528487     -1.8189579646800005e-05    
Lambda        AB|DECam|DECam_g          3137.433179976431    All      -0.0011919656463384946     0.00034039358339215525    -0.0006597748783876212     0.00046969709165848396     
Lambda        AB|DECam|DECam_z          5936.472774881243    All      -0.00024164105859544982    -5.601415907756063e-05    -0.00028808336817624065    4.760895051392321e-05      
Lambda        AB|DECam|DECam_r          4169.881773432093    All      -0.0005160590346372624     0.0002338385576757964     -0.0010788254606502452     0.00019612329127165315     
MWEBV         All|All|All               All                  All      -0.46809228572634987       -2.1784595319971345       0.067980241091814          -0.5540892355834548        
Redshift      All|All|All               All                  All      5.02764839763231           -0.25289733811995063      8.923650678625549          -1.3218259259871536        
