#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6856.545120680882    All      0.05754861586531515        0.014322712008230098       0.1015462705912018         -0.00954855530491544      
Zeropoint     AB|SDSS|SDSS_r            4755.646730624631    All      0.7154495977979516         0.3563539469771726         -0.5882263880560346        -0.14321910944119082      
Zeropoint     AB|SDSS|SDSS_g            3639.429773497493    All      -0.9511782126898531        0.36339429476885954        -0.06352674200558184       0.4253646071022632        
Zeropoint     AB|SDSS|SDSS_i            5767.052863277822    All      1.175770492782276          0.26453655909506324        0.5538016547831814         -0.27210524657391433      
Check         All|All|All               All                  All      0.9975904937556898         0.9986075128493255         0.003594795312766852       0.0004916957822426182     
Lambda        AB|SDSS|SDSS_z            6856.545120680882    All      -8.37513608022971e-05      -2.0704700364501515e-05    -0.00014678341945573487    1.3986101619661209e-05    
Lambda        AB|SDSS|SDSS_r            4755.646730624631    All      -0.00022973132208269743    -6.87795684750965e-05      -0.0005888582403057222     2.6149242568637455e-05    
Lambda        AB|SDSS|SDSS_g            3639.429773497493    All      -0.0014190043451403449     0.000324103612036235       -0.0020753135481065862     0.000475175896119211      
Lambda        AB|SDSS|SDSS_i            5767.052863277822    All      -0.0005489966852514074     -0.00013352377832821495    -0.00029077082086243676    0.0001223574281645077     
MWEBV         All|All|All               All                  All      -0.5971143932734462        -2.828625401365592         0.18334383633704654        -0.7186947565192087       
Redshift      All|All|All               All                  All      5.453296844697572          0.10431913385371416        -3.1234082340762304        -1.881721380753193        
