#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6856.545120680882    All      0.141500955470188          0.02813518053397246       0.24804069779982163       -0.025858045386853417      
Zeropoint     AB|SDSS|SDSS_r            4755.646730624631    All      0.49615255693875393        0.3412295634074525        -0.6653054886083812       -0.08015304412724746       
Zeropoint     AB|SDSS|SDSS_g            3639.429773497493    All      -0.9929641461270473        0.39898972906780017       0.061601410001839156      0.45615415907657964        
Zeropoint     AB|SDSS|SDSS_i            5767.052863277822    All      1.3530390378175237         0.23085168993812744       0.36148659491019025       -0.3494018515885017        
Check         All|All|All               All                  All      0.9977284040994182         0.9992061629473525        0.005823214103469809      0.0007412179739770819      
Lambda        AB|SDSS|SDSS_z            6856.545120680882    All      -7.79911737428015e-05      -1.643843107639381e-05    -0.0001464216910107736    1.3515625732225312e-05     
Lambda        AB|SDSS|SDSS_r            4755.646730624631    All      -0.00011123887121495057    -5.047915025610922e-05    -0.0007328375168551525    -1.2911732524532425e-05    
Lambda        AB|SDSS|SDSS_g            3639.429773497493    All      -0.0018731004599549378     0.0004772365745136666     -0.0020160122886824445    0.0006756167266837491      
Lambda        AB|SDSS|SDSS_i            5767.052863277822    All      -0.0004174921413888234     -7.482569107742286e-05    -7.860109571597764e-05    0.00010811013035775621     
MWEBV         All|All|All               All                  All      -0.5472710916487076        -2.8407645652803737       0.21085715313509007       -0.7376566917433742        
Redshift      All|All|All               All                  All      6.034572806853192          -0.49500061480038937      -2.5181723766228647       -2.2392713476387343        
