#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4737.409392898677    All      -2.3524675584489767        1.347529056694441          -0.3394407166241503       1.190062943637104         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5673.05243212803     All      3.3493757654394387         -0.34489422979415707       0.33979105574625845       -1.1881819611063058       
Check         All|All|All                            All                  All      0.9969082069904623         1.0026348269002838         0.0003503391221081342     0.0018809825307981587     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4737.409392898677    All      -0.00019047094458302317    -0.00010149067976420729    -0.0015468497431646896    -4.00449999982888e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5673.05243212803     All      -0.00087146146616926       8.31523269727567e-05       8.750620144231355e-05     0.00031485411815622595    
MWEBV         All|All|All                            All                  All      -0.2897169227067953        -2.635084454625236         -0.015060504897109145     -0.7646354466089071       
Redshift      All|All|All                            All                  All      4.1277217952238034         1.32180651288909           -0.05287384855942257      -0.9163384363476724       
