#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4737.409392898677    All      -2.3676285359315745        1.347013869592928          -0.4255681127833144       1.1909900892746543        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5673.05243212803     All      3.3664165442890663         -0.3438435677026064        0.43191134880899984       -1.1892795626074397       
Check         All|All|All                            All                  All      0.9987880083574916         1.0031703018903215         0.006343236025685428      0.0017105266672146069     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4737.409392898677    All      -0.00027318673661805607    -1.2654825883251844e-05    -0.0012557742838562613    2.882437584576431e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5673.05243212803     All      -0.0005030803370050336     6.93129405772216e-05       0.0003714071451849496     0.00020302151676631703    
MWEBV         All|All|All                            All                  All      -0.29175767436976274       -2.634024564565962         -0.010405043904349043     -0.7634177137495424       
Redshift      All|All|All                            All                  All      3.6855972454014982         1.0223509434604594         -1.711077826296914        -0.9438644834344353       
