#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5381.205355977067     All      0.9881583527083225         0.946117455191775          0.3279532716652064         0.000940944853936726      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4301.342172858275     All      -0.8968578057305724        0.5663511390722853         -0.11279676460883319       0.4715816899190383        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6431.051738899193     All      0.756337171358393          -0.32404733647926065       -0.27422697567535914       -0.36415426824272895      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7815.002983982492     All      0.3153729856140623         -0.1986152550648157        0.07736729764204302        -0.1639703325413414       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3527.9331512491535    All      -0.18290030364926005       -0.00047479591387400433    -0.07741197137052279       0.05596744874841186       
Check         All|All|All                               All                   All      0.9801104003009453         0.98933120680611           -0.05911514234746573       0.0003654827373165692     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5381.205355977067     All      -5.205525138184141e-05     0.00022209837614680888     -0.0018716408814845884     5.778119467511935e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4301.342172858275     All      -0.0004457459036454174     0.0004251463417059066      -0.0008575204285639988     0.0002454110575368261     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6431.051738899193     All      -0.00017996945283420537    7.211622855598277e-05      -0.0003100148357529736     6.827806152834878e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7815.002983982492     All      -1.6493351419106986e-05    1.6872676321716377e-05     6.258293080859777e-05      1.3661201713876632e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3527.9331512491535    All      -0.0004720083496076468     3.200725718289693e-06      -0.00020108297820429352    0.00014581781997131867    
MWEBV         All|All|All                               All                   All      -0.9536127797674001        -4.055535232592611         -0.0017961484852508768     -1.0104783469601597       
Redshift      All|All|All                               All                   All      5.032347859235003          -3.2017292981556977        3.1715349434889544         -2.540578785059516        
