#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5381.205355977067     All      1.0187805057030008         0.9276846452820564        0.46883936533873155        -0.008750771130142755     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4301.342172858275     All      -0.9078611110818731        0.567735172278816         -0.1646791571610037        0.4733013807262643        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6431.051738899193     All      0.7479326373857615         -0.31799971314789843      -0.3819369835456004        -0.3642533281040415       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7815.002983982492     All      0.34056397305220143        -0.18904672175725779      0.1345203140664079         -0.16650860318643693      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3527.9331512491535    All      -0.21605694536599745       0.002180026668874291      -0.10759106032120186       0.06628566670060818       
Check         All|All|All                               All                   All      0.9833590596930936         0.9905534093245905        -0.050847521622666536      7.434500625130847e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5381.205355977067     All      -4.1853258959862553e-05    0.00018042723271133684    -0.001804830921951577      -8.137245809826275e-06    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4301.342172858275     All      -0.000425249649763587      0.00038713801575487124    -0.0008237407882516011     0.0002278616213446218     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6431.051738899193     All      -0.000189570597808528      8.225619895080473e-05     -0.00028127883395269215    7.599074804814786e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7815.002983982492     All      -2.3027052252654265e-05    1.9481517605850635e-05    5.5509395200940136e-05     1.6323569055711304e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3527.9331512491535    All      -0.0004928370686606981     5.2409300863287675e-06    -0.0002457476273104809     0.00015127380254250522    
MWEBV         All|All|All                               All                   All      -0.9650894730101114        -4.049988473617905        -0.03892985400579517       -1.0065903552464452       
Redshift      All|All|All                               All                   All      5.208947261797706          -2.84395271751805         3.3011389785133316         -2.475779784775059        
