#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6159.564163542329     All      0.5276979411507626         -0.05259678443909621       0.02243274916030666        -0.18802001268889149       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8154.262847677162     All      0.07096994089092189        -0.013075290927488936      0.02676104674871099        -0.02618207440190144       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6310.4538651220955    All      0.23375538487060227        -0.02946198100444164       0.001794868773072784       -0.08565845890981529       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4415.5783932186105    All      -0.37594646470464543       0.26035538400766           -0.03127505339240881       0.2058687838428487         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7821.673918893813     All      0.15190512141995205        -0.030069890364625707      0.0356509561992733         -0.05768430970204473       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5340.233761350738     All      0.2498997527480697         0.16767462295668167        0.1481973985445657         -0.020170060648463366      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5438.542966768437     All      0.25733281470834857        0.09018319994655855        -0.039210175332774835      -0.05619589862618248       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6312.776817250717     All      0.4928177857364856         -0.05262297081252143       0.027940801145679782       -0.1764211292482244        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4289.760757924902     All      -0.12780320061376607       0.0623611053691242         -0.10861381938408804       0.05709583476458314        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5294.89856203396      All      0.05006317886394366        0.0476192639926154         -0.14172521345951059       -0.007120608832339156      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4339.778262283647     All      -0.28926478365931707       0.19973435311229082        0.010822539697307596       0.15976606668082707        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4672.638913361104     All      -0.440681124827751         0.38708719882638576        0.028586375482530454       0.27090705442841806        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7474.486067312416     All      0.19596636085917143        -0.04077127490749177       0.019374751997495124       -0.07624863020944833       
Check         All|All|All                       All                   All      0.996712707442778          0.9964169357556507         0.000737226180160127       -6.34435506336739e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6159.564163542329     All      -9.618206259753747e-05     -1.5846994732684696e-06    -9.251771788560343e-05     2.668483249965516e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8154.262847677162     All      -6.066678804521912e-07     3.128868587313715e-07      1.3070880230775904e-06     3.578585662362191e-07      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6310.4538651220955    All      -2.2892068586954374e-05    1.5298883066522123e-06     -1.2175415372337574e-05    7.411701950357114e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4415.5783932186105    All      -0.0001457816999482239     6.062879891314795e-05      -0.00020622647975795995    5.803174955522194e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7821.673918893813     All      -3.457066517573375e-06     3.5746634808816503e-06     2.0732771644720107e-05     3.215674173870254e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5340.233761350738     All      2.0608851223738425e-05     3.441782136082193e-06      -0.0004569053215264471     -2.5981465191133384e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5438.542966768437     All      3.268027055681681e-05      -1.1226756573574275e-05    -0.00033155352807543256    -2.9097674422386108e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6312.776817250717     All      -0.0001544463408552661     -1.177509687065839e-05     -0.00024331738385607022    3.561458058512251e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4289.760757924902     All      -0.00010275190441873441    4.3321665349355215e-05     -0.00012115660644888382    4.2174304457522005e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5294.89856203396      All      2.352579357320659e-05      2.077709803169004e-05      -0.00016025917468965667    -8.046971489902124e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4339.778262283647     All      -4.8964264715409987e-05    2.65794479199716e-05       -3.435890198637634e-05     2.3073792528745288e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4672.638913361104     All      -6.804373100184224e-05     -5.265758984956743e-05     -0.0005411825717197757     -1.9138720251900475e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7474.486067312416     All      -2.8939260305230714e-05    -6.411695779358492e-06     -9.497972329136369e-05     3.0994600765327013e-06     
MWEBV         All|All|All                       All                   All      -0.8554760691966052        -4.070381575505255         0.012381208212792427       -1.046647974196579         
Redshift      All|All|All                       All                   All      3.8141730527251756         0.17088313147883838        -0.2777208007855645        -1.1991327918416808        
