#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r     6159.564163542329     All      0.5376896378233007         -0.04794630238578179       0.06921715454657473        -0.18767204887172698      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8154.262847677162     All      0.07704714039134548        -0.014559878193409759      0.026557067877508445       -0.028654299767275765     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6310.4538651220955    All      0.21402571253780447        -0.0262695754631892        0.008875358676618816       -0.07787601428739313      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4415.5783932186105    All      -0.37707552097806935       0.2674923330764578         -0.004828660959843578      0.20974147475668684       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7821.673918893813     All      0.16164672282801623        -0.031481075812411774      0.042590982121470944       -0.0610074378142627       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5340.233761350738     All      0.25435203486953933        0.17224913379658702        0.14312985348277074        -0.020356387995378727     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V     5438.542966768437     All      0.2522203839303057         0.08906909237511584        -0.08968251246141978       -0.0571458618118581       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6312.776817250717     All      0.47802633494381336        -0.048203065856533556      0.05594914825836628        -0.16891347475210122      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4289.760757924902     All      -0.1210364488952304        0.05793277041057365        -0.10846202623197021       0.053456000557662586      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5294.89856203396      All      0.044235079207529455       0.04203225694450197        -0.14193031164976277       -0.007051229628353417     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B     4339.778262283647     All      -0.28307558626806534       0.19508199803048853        -0.0022464256821785877     0.1556514084625718        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g     4672.638913361104     All      -0.44283121623389626       0.3813660889793624         -0.02938909619932817       0.26715667720975594       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i     7474.486067312416     All      0.19961496868350834        -0.04027406144508916       0.029156512194039585       -0.07683862799935312      
Check         All|All|All                       All                   All      0.9948392428399018         0.996489714456672          -0.001062956027153561      0.0004901780589740279     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r     6159.564163542329     All      -7.799953440000107e-05     -2.0184097233997024e-06    -7.139992004326293e-05     2.156330150836298e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8154.262847677162     All      -1.161381519926856e-06     5.274286093802434e-07      1.191299172940453e-06      6.032632299674077e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6310.4538651220955    All      -1.5055718191473019e-05    1.054257670698824e-06      -1.2367915369492052e-05    4.695625881612844e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4415.5783932186105    All      -0.00017040873596659687    7.883126699135478e-05      -0.0001981700000797703     7.234225177427464e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7821.673918893813     All      -2.705604056122755e-06     3.172121228193066e-06      1.834407681826075e-05      2.7331803936213498e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5340.233761350738     All      1.8696990896678897e-05     5.568366472096829e-06      -0.00047001881768128943    -2.525120600876832e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V     5438.542966768437     All      5.16035445063197e-06       -8.783367732984028e-06     -0.00037596373169877166    -2.131946365679079e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6312.776817250717     All      -0.00013681491876010285    -1.3852552512290006e-05    -0.00020781690966843177    3.07789738186442e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4289.760757924902     All      -0.00011296822287777795    4.7283489877604926e-05     -0.00014473623507421724    4.574034154730134e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5294.89856203396      All      1.568418829160248e-05      2.1657342432671343e-05     -0.00017417285172533278    -5.826881610847471e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B     4339.778262283647     All      -6.746684017645839e-05     3.9094000927326726e-05     -2.8330233865882702e-05    3.3446123473667486e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g     4672.638913361104     All      -5.45291726434719e-05      -5.842611180562753e-05     -0.0005023350111527612     -2.368626569709574e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i     7474.486067312416     All      -1.9000395228708675e-05    -7.454571183950678e-06     -8.415660413140767e-05     5.332012623825567e-09     
MWEBV         All|All|All                       All                   All      -0.8554863589726196        -4.0712743842568955        0.010072599641541835       -1.0470384622584317       
Redshift      All|All|All                       All                   All      4.051588153267934          0.06266619256569683        0.08613706167125423        -1.2954792127860832       
