#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3350.709541086144    All      -0.3861532095728114        0.11583961941177279        0.06457990796772967       0.16639748416161668        
Zeropoint     AB|MEGACAMPSF|z           6020.876781428822    All      0.7039147744075938         -0.000692363725818268      0.11658981655088638       -0.22431085774134873       
Zeropoint     AB|MEGACAMPSF|i           5227.512841921971    All      1.532180438746865          0.36075313851462454        0.166361433941275         -0.3741484637727316        
Zeropoint     AB|MEGACAMPSF|r           4274.732269897334    All      -0.8638150740455517        0.5248869121800226         -0.34562786919722666      0.4369221394610926         
Check         All|All|All               All                  All      0.9861269295360958         1.0007873063806016         0.001903289262664365      0.004860302108628978       
Lambda        AB|MEGACAMPSF|g           3350.709541086144    All      -0.0005687342794274508     0.0001727207306913879      0.00016634938904437757    0.0002489396991589311      
Lambda        AB|MEGACAMPSF|z           6020.876781428822    All      -0.00021312883657758497    -2.3903060686587767e-06    -8.405438782229319e-05    6.489351119780848e-05      
Lambda        AB|MEGACAMPSF|i           5227.512841921971    All      0.00045294856013727104     4.6896454814259896e-05     -0.0006467509260365378    -0.00016112605283062439    
Lambda        AB|MEGACAMPSF|r           4274.732269897334    All      -0.0006302806238739814     -5.180787416963966e-06     -0.0026754890043996318    8.422079571800257e-05      
MWEBV         All|All|All               All                  All      -0.39174215330731155       -2.410286788341587         0.02530644905757816       -0.6563770851835137        
Redshift      All|All|All               All                  All      3.519274215257717          -0.12718210455986423       0.25223085848705934       -1.17651488345435          
