#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3350.709541086144    All      -0.362799109817312        0.0842918632105949         -0.13087484011016226       0.13979189574358786        
Zeropoint     AB|MEGACAMPSF|z           6020.876781428822    All      0.6375967696198682        0.007776357512057075       -0.02312482857218523       -0.20618518359029336       
Zeropoint     AB|MEGACAMPSF|i           5227.512841921971    All      1.4429360961003566        0.28852966916872447        -0.025834027016102823      -0.3771810060693284        
Zeropoint     AB|MEGACAMPSF|r           4274.732269897334    All      -0.7409354554167464       0.625687302982314          0.10756459412115671        0.4499541067731788         
Check         All|All|All               All                  All      0.9767983004861663        1.0062851928736904         -0.0722691015772936        0.006379812857144895       
Lambda        AB|MEGACAMPSF|g           3350.709541086144    All      -0.0006975460507107658    0.0001653760019056958      -0.0002817532778538438     0.00026850874708484856     
Lambda        AB|MEGACAMPSF|z           6020.876781428822    All      -0.0001204733018929343    -4.2413133147287995e-07    -1.4318003925614935e-05    3.846501759728084e-05      
Lambda        AB|MEGACAMPSF|i           5227.512841921971    All      0.0006561952465430894     8.569627492413607e-05      -0.0007833769662605512     -0.00022078879999890843    
Lambda        AB|MEGACAMPSF|r           4274.732269897334    All      -0.0007259689635917901    0.00012882883785689491     -0.0024398619829502457     0.00016955593152589624     
MWEBV         All|All|All               All                  All      -0.42237247498157204      -2.4161522301737293        -0.05954453882537347       -0.6520968589613138        
Redshift      All|All|All               All                  All      3.38764683288599          -0.485449487261036         1.6271208669732529         -1.1889839613588569        
