#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4439.347911500627    All      -2.54064708368083         0.9934167923647763        -0.5484141516242227       1.126687666864198         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5316.123513444422    All      3.5373863389868636        0.008527862875951087      0.5463685387968048        -1.125083383158225        
Check         All|All|All                            All                  All      0.9967392553060337        1.0019446552407274        -0.0020456128274178864    0.0016042837059730974     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4439.347911500627    All      -0.0004062107126469327    -8.527312246189637e-05    -0.002719693703166443     -1.682750721458191e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5316.123513444422    All      0.000982127079302595      -1.397153473490254e-05    -0.0001627107087364511    -0.0003317231208906813    
MWEBV         All|All|All                            All                  All      -0.11814283529704772      -2.40333949336069         -0.007715554824374925     -0.7447080420438378       
Redshift      All|All|All                            All                  All      0.12085068594092996       -0.23210977193866         -0.572174909638856        -0.14050437149840822      
