#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4600.173860762364     All      -0.6827513046382045       0.5444901806859193         -0.12353993151489567       0.39423990707054823       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6064.0393114464205    All      1.2888203768125304        -0.09193918452794492       0.11537731335250694        -0.44461005518279545      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7358.568908709049     All      0.43997258958842783       -0.09023765524380778       0.2759338681735583         -0.1603932589226248       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5354.199984257962     All      0.5847764201856931        0.2668368644979324         -0.38133980147772145       -0.12058081709778781      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4272.475338630802     All      -0.6318610391067284       0.3678866592355057         0.11630196476902156        0.33084073860442675       
Check         All|All|All                      All                   All      0.9989570428417186        0.9970368646476047         0.002733413302469692       -0.0005034855282330941    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4600.173860762364     All      -0.0002300958752805989    -2.7358020127890763e-05    -0.0008578499626412892     2.7756485430244788e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6064.0393114464205    All      -0.0001983432544732029    1.0241193348209602e-05     -0.000491870514486196      4.599289489798164e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7358.568908709049     All      -7.345019655268829e-05    5.113094977694353e-06      -0.00034525577841269974    1.01834690188413e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5354.199984257962     All      0.00018635664358902744    -7.5589023707251285e-06    -0.0012472798287984795     -0.0001188250431612848    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4272.475338630802     All      -0.0003821811657758362    0.0001569684530576805      -0.0003881792381754647     0.00015829611179266385    
MWEBV         All|All|All                      All                   All      -0.8469493620454469       -3.9880077073302544        0.03715270776189113        -1.0214880860981852       
Redshift      All|All|All                      All                   All      6.959037589440204         -1.1407815899413976        8.55115556076596           -2.256778784220412        
