#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4600.173860762364     All      -0.6970336877134096        0.4805247049132433         -0.4898547496335781        0.3617095413442517        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6064.0393114464205    All      1.329736805492023          -0.051623990024829425      0.337366110344095          -0.43489955648199075      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7358.568908709049     All      0.4581578632256852         -0.0842298281890308        0.3388404817081636         -0.1615526206582077       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5354.199984257962     All      0.6422382208225279         0.26720510731115255        -0.24238888443191553       -0.13297732595392436      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4272.475338630802     All      -0.6832478852193482        0.36395023717057384        -0.03886520271180749       0.3393725047616952        
Check         All|All|All                      All                   All      1.0498513166074785         0.9758262311811094         -0.0949022447250425        -0.028347456988175868     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4600.173860762364     All      -0.00010530316783466373    -0.00011712963210308021    -0.001072152475635284      -5.169750926073302e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6064.0393114464205    All      -0.0002576672354146041     9.906835349203402e-06      -0.0005595526427328355     6.218741326039382e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7358.568908709049     All      -3.9894828270328525e-05    4.293297423157676e-06      -0.00023574069935467288    3.873501590194143e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5354.199984257962     All      9.605600907907776e-05      -1.4474094812800393e-05    -0.0012270387765057624     -9.07603961801849e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4272.475338630802     All      -0.00040320809651147904    0.00012998232011698536     -0.0005401523469080027     0.000149573141727058      
MWEBV         All|All|All                      All                   All      -0.839236061007349         -3.989336500567031         0.02358310687821108        -1.0250389426440936       
Redshift      All|All|All                      All                   All      7.755088158170265          -0.8873357928655068        9.810257828504051          -2.377335058153328        
