#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4769.451482282095     All      -0.24239253277959777       0.3060605001979688        0.12097339811436168        0.1840476835567538        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7574.816972294161     All      0.16878661484761998        -0.041892702128798476     0.024965600117989734       -0.06751108461246054      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6173.831602417617     All      0.6777767264095678         -0.12927005995497787      0.11314373399252228        -0.25783260417184695      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5333.426443926225     All      0.2866803402045441         0.26740422113573636       0.15589650247686887        0.0006780787526134533     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4366.005017538733     All      -0.4031260337494158        0.27777125592463037       -0.061498712757898685      0.21904624300528147       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3568.0046721488625    All      -0.14866240108448198       0.06812675710978766       -0.017843079761687135      0.06981910627586922       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6217.413539978537     All      0.5781616479481579         -0.10916374361205072      -0.19581442988072154       -0.23262279102731842      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5395.588470382521     All      0.2847123303909796         0.21701663929576398       0.030938600624905513       -0.02067006606176012      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4362.912867424681     All      -0.38093821573454945       0.20549012172774717       -0.2007475757283935        0.18206056012622368       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7548.454485441678     All      0.17423486164936192        -0.06399638134908514      0.029977637499545337       -0.07626198914039392      
Check         All|All|All                                All                   All      0.9952333381021863         0.9975466083467222        -8.32530250748087e-06      0.0007531367029616765     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4769.451482282095     All      -0.00018314738271107733    0.0001972535289438859     -0.00024197694441366143    0.00011311077207501356    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7574.816972294161     All      -3.151818267465385e-05     -7.665287294705392e-06    -3.907456926641406e-05     6.025954198843561e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6173.831602417617     All      -0.00012679977627337235    3.1116663279486034e-05    -0.0002841283954137783     3.875923432611426e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5333.426443926225     All      1.8279527880496848e-05     0.0002412102822843103     -0.0008384162516683699     3.5201214307897977e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4366.005017538733     All      -0.0002785478278531889     0.00024537666398811287    -0.00017961331576667487    0.00016264412624796982    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3568.0046721488625    All      -0.00036641056637968985    0.00015824319176776808    -5.114679316955801e-05     0.0001686145431541461     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6217.413539978537     All      -0.00013987632359964837    4.2791186149899615e-06    -9.716659232468988e-05     4.2620071357054016e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5395.588470382521     All      4.1089523672758185e-05     0.00016286170114649634    -0.0005966813351503899     1.3038056859327276e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4362.912867424681     All      -0.0002902411005056757     0.00021234326654004067    -0.0002283864961702075     0.00015351642249850097    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7548.454485441678     All      -3.155083145308551e-05     -5.679520844126351e-06    -7.455456998673352e-05     5.100108964422366e-06     
MWEBV         All|All|All                                All                   All      -0.9715150519122715        -4.042093712311301        -0.0043383512215914785     -1.0003820894190187       
Redshift      All|All|All                                All                   All      9.006087117131004          -4.002651162030357        7.527958294933384          -3.901435828259117        
