#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4769.451482282095     All      -0.3801525493800931        0.34320385560489          0.11304049634836           0.24066545699827635        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7574.816972294161     All      0.21362450598019417        -0.05265210449818536      0.050465211768824236       -0.08448302165017935       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6173.831602417617     All      0.8878219895828746         -0.11082619319784381      0.1775861675183843         -0.31736771264843644       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5333.426443926225     All      0.07459616398316166        0.3749022221331666        0.10934589476326861        0.10269916799106604        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4366.005017538733     All      -0.5373095522325421        0.34551405697060833       -0.17479873039205618       0.2797642290356478         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3568.0046721488625    All      -0.04196050392047414       0.017511766232058967      -0.02155462470402325       0.018410191064521797       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6217.413539978537     All      0.6058667098064076         0.006067197414494352      0.043369779656921015       -0.19343903992798533       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5395.588470382521     All      0.1306833194192219         0.15100192273489466       -0.001806096556833392      0.006537839767878362       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4362.912867424681     All      -0.1879511337070022        0.04711073304994873       -0.1914653784617637        0.06802316283638088        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7548.454485441678     All      0.18782837217546647        -0.042634557006349105     0.04751687398795168        -0.0729488981907056        
Check         All|All|All                                All                   All      0.9530473217072148         1.0791988994376833        0.15169959392903332        0.0478613752764645         
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4769.451482282095     All      -0.0005016027969126699     0.0005339370815738274     0.0003374369412533407      0.0003523676675694479      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7574.816972294161     All      -4.0577329418849107e-05    4.377479910554391e-05     1.5422459149111478e-05     2.816449688202648e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6173.831602417617     All      0.0002940585435875684      2.7300525229467946e-06    0.00023913786658152515     -8.422364929737872e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5333.426443926225     All      0.0002041879293812403      0.0002326523294869478     -0.0005119610629114822     -1.3574679320249371e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4366.005017538733     All      -0.0008510575692571175     0.0005890205114473699     -0.00022333052262818302    0.0004591145925421584      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3568.0046721488625    All      -0.00022447739367660255    0.0001328587542509411     -1.1078578535164788e-05    0.00011590175331212577     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6217.413539978537     All      7.905906885674812e-05      -1.893807011642807e-06    0.0001378487427597012      -2.021745866785403e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5395.588470382521     All      0.00017283005683028845     -6.212948658172958e-05    -0.0004227279061576038     -9.53984581614364e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4362.912867424681     All      -0.00035008419641814457    0.00012238886184726334    -0.00039653708342419033    0.00013620439017468855     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7548.454485441678     All      -4.253808809090308e-06     1.8862478380576078e-05    1.0706892026798483e-05     8.007534657113284e-06      
MWEBV         All|All|All                                All                   All      -0.9190137021048703        -4.0426374622549055       0.04570831518520002        -1.0154272706741574        
Redshift      All|All|All                                All                   All      9.990586610331881          -4.905020532948257        4.851045167216883          -4.635509431717077         
