#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6044.672883760585     All      1.1996125068219667         -0.10608354702927869       -0.7040477903880477        -0.4567265801740743        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4585.482509034389     All      -0.6530301995816207        0.42873947689496816        -0.65727605365803          0.32303676127864456        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4258.8305417494685    All      -0.6256493890868429        0.4938226500633469         0.7073104606531504         0.39621288998686366        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7335.068204752076     All      0.5172998848507334         -0.012294698580816998      1.0011220606921103         -0.12783089938655742       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5337.100535938934     All      0.5620660500431021         0.19388540782507846        -0.326481683259218         -0.1344979260014777        
Check         All|All|All                      All                   All      1.0002988530473387         0.9980692891732978         0.020626994039965152       0.0001942457033987932      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6044.672883760585     All      -6.697384665160299e-05     -2.4567035918472732e-05    -0.00041442120277920185    -4.680421513882865e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4585.482509034389     All      -0.0003156361142348853     -4.027365406748509e-05     -0.001666138022014568      1.5342524805017697e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4258.8305417494685    All      -0.00034801680941579284    0.00012710022784695655     -0.00029644365804909137    0.0001415323309804638      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7335.068204752076     All      -0.00010268626980589445    2.0567403709207423e-05     -0.0001320867524899836     3.425335127816747e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5337.100535938934     All      0.0001961662632932421      -4.7212789632487694e-05    -0.0011611982061531282     -0.00013109550722107766    
MWEBV         All|All|All                      All                   All      -0.8286221845441148        -3.9575520475112036        0.17381109363692465        -1.0114390042797492        
Redshift      All|All|All                      All                   All      6.2331116445770105         -0.2849529039818499        9.349309520260357          -1.7059313173560886        
