#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6044.672883760585     All      1.244332376966265          -0.11717056281002058       -0.6017494939749402        -0.47033961578203665       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4585.482509034389     All      -0.681985240039559         0.41214056892888706        -0.7536066490078097        0.322762768095888          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4258.8305417494685    All      -0.6880136066212704        0.5155164990783057         0.6214226648002308         0.4197605898297094         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7335.068204752076     All      0.5565163652147427         -0.024516643841199226      0.949498564905385          -0.1468898064051805        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5337.100535938934     All      0.565277701786439          0.21247835202604648        -0.20903323453043687       -0.12424654817298451       
Check         All|All|All                      All                   All      0.9961275973066174         0.9984482133820194         0.006531852192429022       0.0010473875653956993      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6044.672883760585     All      -7.457395896290139e-05     -1.6633455926610516e-05    -0.0003468324481847911     3.395588806180618e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4585.482509034389     All      -0.0002982249302831359     -3.731741336522228e-05     -0.0014764433201566527     1.909927754281829e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4258.8305417494685    All      -0.00039699713090623936    0.00012563354650034617     -0.00042425022470382406    0.00015130566665216993     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7335.068204752076     All      -0.00011411306984747699    1.7089589561733487e-05     -0.00018178762151491688    3.462467598099898e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5337.100535938934     All      0.0002853121504524903      -3.974387142034517e-05     -0.0008942168547183328     -0.00014578623158607396    
MWEBV         All|All|All                      All                   All      -0.84000586441624          -3.9592500042389567        0.12990661785289848        -1.010243300709078         
Redshift      All|All|All                      All                   All      6.098204604042382          -0.43586471548318073       7.838815321306797          -1.7785510164516392        
