#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3414.0408292698685    All      -0.5844533638656988       0.17324597254546603        0.09381865299265062        0.25099429702643583        
Zeropoint     AB|MEGACAMPSF|r           4365.00954961598      All      -0.6866436067674053       0.4689542627577481         -0.8498700705889944        0.33849044620666485        
Zeropoint     AB|MEGACAMPSF|z           6155.866962416836     All      0.09044225381001976       -0.0400127816890361        -0.536711605002673         -0.06644447080925801       
Zeropoint     AB|MEGACAMPSF|i           5344.202470821458     All      2.1660352164585834        0.39989345632864826        1.3024324059834267         -0.5171688991889921        
Check         All|All|All               All                   All      0.985380499635499         1.0020809099428263         0.009669383384409924       0.005871373234850652       
Lambda        AB|MEGACAMPSF|g           3414.0408292698685    All      -0.0012328214225281124    0.0003089181755270668      -0.00030882482260021616    0.0004884138753612214      
Lambda        AB|MEGACAMPSF|r           4365.00954961598      All      -0.0001260323786329846    -0.00016031161448780954    -0.0017573878283354287     -8.959002225953706e-05     
Lambda        AB|MEGACAMPSF|z           6155.866962416836     All      -4.236769541853341e-06    1.5619761931872175e-06     2.0874937891816433e-05     2.82039486196072e-06       
Lambda        AB|MEGACAMPSF|i           5344.202470821458     All      0.0006507632044872348     0.00011215280650030601     0.0006212340790785524      -0.00014772030265575476    
MWEBV         All|All|All               All                   All      -0.41155827113164944      -2.4722063015508056        0.12446879279565959        -0.6656663862560753        
Redshift      All|All|All               All                   All      -0.5736694840576266       -0.5338124671629529        -8.981239246143513         -0.3878087165560221        
