#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3414.0408292698685    All      -0.5673930038337717        0.12673908626297248        -0.15478390319558777       0.21919436330910383        
Zeropoint     AB|MEGACAMPSF|r           4365.00954961598      All      -0.7087229777391967        0.6146491195176296         0.2398630927087586         0.44176981790160463        
Zeropoint     AB|MEGACAMPSF|z           6155.866962416836     All      0.0373934180930096         0.006259196205959938       -0.1958766947439905        -0.01888251761139295       
Zeropoint     AB|MEGACAMPSF|i           5344.202470821458     All      2.2272136475133215         0.2555031272439834         0.150149932007837          -0.6355504819492718        
Check         All|All|All               All                   All      0.9884910840333625         1.0031505292305454         0.039352426777017335       0.006531181650043738       
Lambda        AB|MEGACAMPSF|g           3414.0408292698685    All      -0.0011536717736135413     0.00024659748478524454     -0.0003653583251370025     0.00043980950092997284     
Lambda        AB|MEGACAMPSF|r           4365.00954961598      All      -0.00016396194653539375    -0.00021812460047472955    -0.002115894494642107      -0.00011206521163039232    
Lambda        AB|MEGACAMPSF|z           6155.866962416836     All      4.120386990177998e-06      -1.3152727483611392e-07    -4.175992955534774e-05     -3.2485422195754893e-06    
Lambda        AB|MEGACAMPSF|i           5344.202470821458     All      0.0006633192745147124      5.059257875311494e-05      -1.4711097017179253e-05    -0.0002002417316133391     
MWEBV         All|All|All               All                   All      -0.41815978145327026       -2.4935227452596465        -0.06913777303301227       -0.6790992959973612        
Redshift      All|All|All               All                   All      -0.9214164984125524        0.016114069821071553       -2.9742268088319035        0.17265846756470787        
