#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4702.8784495377095    All      0.5893523470501203        0.37547087727247686        -0.3595343556413393       -0.08571259820863417       
Zeropoint     AB|SDSS|SDSS_i            5703.062099503699     All      1.2142401220174748        0.2221819835202865         -0.046096130862706        -0.3252030320603841        
Zeropoint     AB|SDSS|SDSS_g            3599.046947740626     All      -1.0004225930552288       0.36171166781233666        0.010778291632876243      0.4441729273033451         
Zeropoint     AB|SDSS|SDSS_z            6780.4654367373       All      0.19446674556539897       0.03985876748320294        0.4025450752994106        -0.03239716702481329       
Check         All|All|All               All                   All      0.9976366215777653        0.999223296088303          0.007692880428241511      0.0008601300095136058      
Lambda        AB|SDSS|SDSS_r            4702.8784495377095    All      -0.000223575772499076     -9.666441221323925e-05     -0.0012719202097770763    -1.5420751939290786e-05    
Lambda        AB|SDSS|SDSS_i            5703.062099503699     All      -0.0003493269113305817    -5.9375080522551476e-05    0.00012936284681263428    0.00010021972013725119     
Lambda        AB|SDSS|SDSS_g            3599.046947740626     All      -0.0018439702805575534    0.00045114497596160315     -0.0018561135770228147    0.0006647647219762316      
Lambda        AB|SDSS|SDSS_z            6780.4654367373       All      -9.809026262022805e-05    -2.045938443913577e-05     -0.0002125152295430584    1.580335235625188e-05      
MWEBV         All|All|All               All                   All      -0.5676317525671006       -2.793427407639548         0.17143898643681016       -0.7173643367852133        
Redshift      All|All|All               All                   All      6.980350644729199         -0.11151381068330579       -2.738488835891596        -2.4322597478598222        
