#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4702.8784495377095    All      0.742157220557815          0.37961966702120264        -0.6816769522111965        -0.1485105198663017       
Zeropoint     AB|SDSS|SDSS_i            5703.062099503699     All      1.2150343139748507         0.26784923416975914        0.6486210106993795         -0.2795843652570934       
Zeropoint     AB|SDSS|SDSS_g            3599.046947740626     All      -1.028427794489561         0.3323103277871553         -0.26081340269055175       0.4315982690905898        
Zeropoint     AB|SDSS|SDSS_z            6780.4654367373       All      0.07288721129943254        0.020236065629930522       0.31263608665055287        -0.003198697654194227     
Check         All|All|All               All                   All      1.0016509513425373         1.0000152946080476         0.018766742448184104       0.00030468631300045734    
Lambda        AB|SDSS|SDSS_r            4702.8784495377095    All      -0.00029880271442903956    -0.00010549985699441356    -0.0008527612258464911     2.4910283222689476e-05    
Lambda        AB|SDSS|SDSS_i            5703.062099503699     All      -0.00022370545505650765    -4.7490229330498914e-05    -0.00010833318054531539    5.256468403625424e-05     
Lambda        AB|SDSS|SDSS_g            3599.046947740626     All      -0.002240250911960966      0.00022529090425183712     -0.0048469217892091005     0.0005868122251111258     
Lambda        AB|SDSS|SDSS_z            6780.4654367373       All      -0.00011042112976081328    -2.806260724314151e-05     -0.00033440228009026454    1.1904042392607667e-05    
MWEBV         All|All|All               All                   All      -0.514014308133385         -2.7641735985911353        0.61736341330203           -0.7054008152558217       
Redshift      All|All|All               All                   All      7.769252405622016          0.6523242125947348         2.837407591493246          -2.1915971833852463       
