#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      0.4508286720903737         -0.0194481914814304       1.7313257789790537         -0.07592352829044746      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.7279387596533089        0.6170217646463527        0.061676173683355984       0.4408502150144239        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      1.024755538532343          0.16893011013348058       -1.547474135071214         -0.34782716120639046      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.810953468696324         0.3864970017371405        0.6231544815237466         0.41785753563590156       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      1.0728903614039202         -0.15543398301982592      -0.7238390557699148        -0.43240726223590376      
Check         All|All|All                      All                  All      1.0095823436770042         0.9975667020157175        0.14484324334502752        0.0025497989175837787     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      -0.0002530169972506754     9.97632461689116e-06      -0.001593968749681627      1.4534072690939299e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.00028563233381134377    4.540419656117655e-05     -0.0015712582416650138     3.7711449923261684e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      0.0003907933180184035      5.775310649515167e-05     -0.0007778887220965246     -0.0001431957545441289    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.0004231931551040957     0.00012149469516887369    -0.00012387470272835963    0.00017189479348507627    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      -0.00017806054380139027    1.9759097828860188e-05    -0.00027959151574469455    5.195948012157241e-05     
MWEBV         All|All|All                      All                  All      -0.8734914126588347        -4.00609715067155         0.19996892210416561        -1.0114690539688747       
Redshift      All|All|All                      All                  All      4.861439635367011          -1.0968700279176957       15.83753463553954          -1.2340610482787588       
