#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      0.4722304593872212         -0.1510182225539225        1.1140203653013812        -0.15329898758790048       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.5777399618885344        0.5401510673835652         0.46010174102460943       0.38466611328744993        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      0.7243319736818268         0.4003961409903667         -1.7017148961535487       -0.1814562780014646        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.7468423486996791        0.3330493741705354         0.19691559552638369       0.3605437001489671         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      1.1246492491482265         -0.12672139173286467       -0.0722224480172856       -0.4108355427555242        
Check         All|All|All                      All                  All      0.996629371629061          0.9958569682576801         -0.0028996423184598635    -0.00038099490847226525    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7401.685523408516    All      -0.00014069026373517807    9.385144518264073e-05      -0.0005457844342542807    5.204209818403334e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4627.128004477769    All      -0.00018140162752626528    -2.9157825172022416e-05    -0.0015178509218231185    -1.814390030473107e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5385.572249790723    All      7.899327055791472e-05      0.00012908173852845437     -0.001492254133977554     -5.0276986444425165e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4297.509373818092    All      -0.00039580016821243717    8.263011242025868e-05      -0.0014028278381775082    9.32387188281359e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6099.570791786927    All      -0.0002243669833845552     8.281557505627102e-05      -0.0005510788975311107    7.5467345107187e-05        
MWEBV         All|All|All                      All                  All      -0.8527947666823614        -4.023373544464448         0.17512747677201407       -1.0249466819102022        
Redshift      All|All|All                      All                  All      6.924367299907179          -2.0491758897639656        17.927312944818162        -2.1229645981208654        
