#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3698.16087882849     All      -1.1662956974365901        0.44735747932769243        0.23303780707081279       0.5360193343104183        
Zeropoint     AB|SDSS|SDSS_r            4832.390728018738    All      0.854452134542055          0.38383122762031263        -0.49300093174759474      -0.17529707966487396      
Zeropoint     AB|SDSS|SDSS_z            6967.192254641775    All      0.16194222530306376        0.02247431805351141        0.23919585417405131       -0.034755073364074046     
Zeropoint     AB|SDSS|SDSS_i            5860.118373602837    All      1.1479962945698963         0.14580730951028187        0.025601694887761317      -0.3253034374136779       
Check         All|All|All               All                  All      0.998094956978425          0.9994703345117983         0.004834424385030678      0.0006637438677923879     
Lambda        AB|SDSS|SDSS_g            3698.16087882849     All      -0.002008454179049564      0.0004782727139605373      -0.002401412635685775     0.0007028447432967915     
Lambda        AB|SDSS|SDSS_r            4832.390728018738    All      -0.00011454376246343654    -7.126041350982299e-05     -0.0011747860949151393    -3.832649708461255e-05    
Lambda        AB|SDSS|SDSS_z            6967.192254641775    All      -4.577582560140521e-05     -5.928736646423028e-06     -7.203825782524903e-05    9.764771215935853e-06     
Lambda        AB|SDSS|SDSS_i            5860.118373602837    All      -0.0002102341226341318     -2.2384343954056806e-05    4.3016761616303616e-05    6.310849349234808e-05     
MWEBV         All|All|All               All                  All      -0.55945517142279          -2.9219798400735186        0.17493826744128804       -0.7617453179189811       
Redshift      All|All|All               All                  All      4.8850610080478205         -0.26097797989095284       4.247115906262983         -1.4867049214269525       
