#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3698.16087882849     All      -1.1188130363011317       0.4277071991429793        -0.06073379813001828      0.5010422492183383        
Zeropoint     AB|SDSS|SDSS_r            4832.390728018738    All      0.8768325219920721        0.4052337301910569        -0.14060529527623564      -0.15988981018041026      
Zeropoint     AB|SDSS|SDSS_z            6967.192254641775    All      0.13513149058749344       0.019290467176702464      0.20840183542404025       -0.028433215621399825     
Zeropoint     AB|SDSS|SDSS_i            5860.118373602837    All      1.1053902423269664        0.14658159361236045       -0.002996116093978384     -0.3124492236545541       
Check         All|All|All               All                  All      0.9985412186054002        0.9988129901230991        0.0040666259238079545     0.0002699997619741157     
Lambda        AB|SDSS|SDSS_g            3698.16087882849     All      -0.001844070068910903     0.0005985209350085507     -0.0013247021603482372    0.0007365168755543144     
Lambda        AB|SDSS|SDSS_r            4832.390728018738    All      -0.0001258349661088009    -4.286733896531146e-05    -0.0011245971821295336    -2.316032143591423e-05    
Lambda        AB|SDSS|SDSS_z            6967.192254641775    All      -6.627046929422374e-05    -9.674809394209287e-06    -0.0001057191602352986    1.3717307800579332e-05    
Lambda        AB|SDSS|SDSS_i            5860.118373602837    All      -0.0001684977367037207    -2.230595209237874e-05    2.8950464742259825e-05    4.8911400091541216e-05    
MWEBV         All|All|All               All                  All      -0.5619637219333344       -2.9262346207071133       0.11697428248939776       -0.7649007889487724       
Redshift      All|All|All               All                  All      4.455692969527934         -0.7120420281003348       1.5724013722432248        -1.6131322506941197       
