#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8144.222749831728    All      0.3863646289146231         -0.11804339788152873      0.12337830189634857        -0.15879648190109188       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4315.458380341053    All      -1.1960854087098922        0.6541776868544957        -0.1449427979598017        0.5962234306983373         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5322.147590367526    All      0.5426563455666553         0.682762856759922         -0.1610729190589577        0.03844935546651121        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6253.358699614313    All      1.26465607784842           -0.2243666907404851       0.18342435117131295        -0.4768383167682199        
Check         All|All|All                                    All                  All      0.9975916436198058         0.9945304549924039        0.0007869360489021204      -0.0009620125044633165     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8144.222749831728    All      -1.9193501094662367e-05    2.633019206122461e-06     -4.142755086972653e-05     5.260894407697816e-06      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4315.458380341053    All      -0.0007274978511926003     0.00029130245990611553    -0.0011710735337982859     0.00027959714559229665     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5322.147590367526    All      9.389317328679288e-05      0.0001324995111033693     -0.0012761421361869927     -4.4373008091544494e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6253.358699614313    All      -0.0003179589442641079     7.351456314286735e-05     -0.00026167359893863456    0.00011583850956103659     
MWEBV         All|All|All                                    All                  All      -0.8198180735301088        -4.037594141049006        0.021955838389198234       -1.047155738651328         
Redshift      All|All|All                                    All                  All      5.836283483095185          -2.131628538372876        6.346926564918376          -2.312176899698451         
