#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8144.222749831728    All      0.36911337372397995        -0.11820688910999522      0.12350386083844317       -0.1532248318889604        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4315.458380341053    All      -1.166971925924648         0.6749823433591651        -0.09937484395731704      0.5955504611275768         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5322.147590367526    All      0.5523863630551166         0.662830669600023         -0.14076570744898578      0.029693617141496893       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6253.358699614313    All      1.2427219862549064         -0.22454060256213992      0.11551685495809706       -0.47278070999602184       
Check         All|All|All                                    All                  All      0.9972497971093548         0.995065521287053         -0.0011198356097625872    -0.0007614636159085642     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8144.222749831728    All      -1.765080342525114e-05     6.975605808409395e-06     -6.066953271171746e-05    5.3142290723632716e-06     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4315.458380341053    All      -0.0006134926364220032     0.00028122168812573484    -0.000983774183903348     0.0002475365672159542      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5322.147590367526    All      2.1664688504297264e-05     0.00016309164507255904    -0.0016869021868844976    -2.9211284376193623e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6253.358699614313    All      -0.00038892287665478364    7.072970858259803e-05     -0.0005957140956958724    0.0001231399850576701      
MWEBV         All|All|All                                    All                  All      -0.8269913400935844        -4.03440631355112         0.023262361119954663      -1.043722485336841         
Redshift      All|All|All                                    All                  All      5.608939941599199          -1.9131043457404573       6.746137002884371         -2.1491281817408785        
