#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.155817918206     All      0.2694667986797363         0.3749638594088722         1.5774276879139206         0.10475721627796193       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.893195733274     All      0.7516739737307682         -0.5481784171132986        -1.2754787569928334        -0.48032344643390396      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.240783198961     All      -1.2549453767720948        1.3461235780464875         0.6727597311388327         0.877275908138307         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.9840546941505    All      1.2408719341272758         -0.1832353387568375        -0.8968815877978518        -0.5039022965512766       
Check         All|All|All                                      All                   All      1.0070673297656856         0.9896736815852236         0.07782707426206814        -0.0021926185689116195    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.155817918206     All      -3.0553226490394734e-05    2.4105449838814416e-05     1.0101228254479657e-05     1.8254900521196374e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.893195733274     All      0.0004399347893120143      -0.0007301008017836252     -0.004082139951995869      -0.0005632862425143562    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.240783198961     All      -0.0013299488672624267     0.0013875082445420704      -0.00048400609298707815    0.0008635662140277744     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.9840546941505    All      -0.00016161658675607152    -2.0432105401828233e-05    -0.0005198210857550396     2.2791202803193122e-05    
MWEBV         All|All|All                                      All                   All      -0.8449499990112619        -3.9436109162786614        0.34810683121180896        -0.9938013945900267       
Redshift      All|All|All                                      All                   All      4.896041193851142          -1.2424005371260094        9.159282483204048          -1.5907557103512042       
