#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.155817918206     All      0.30338632396165055       0.6154102418137519        3.402299557242938          0.2534654583695062        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.893195733274     All      0.34457955593024503       -0.2773427835648157       -5.0009561274364955        -0.4257502700175442       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.240783198961     All      -1.0220978982150142       1.328864826538645         3.0655370037385943         0.9025867408032073        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.9840546941505    All      1.3569139296677415        -0.6243650934587563       -1.2990489802870764        -0.7033383496501067       
Check         All|All|All                                      All                   All      0.982781911344623         1.0425671913288248        0.16783145325796056        0.026963579505062674      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7787.155817918206     All      4.736600779305836e-05     6.437635223455231e-05     0.0005378650634171502      2.954327626372753e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5339.893195733274     All      -1.029532142566951e-05    -0.0005428387321893864    -0.007565081997596665      -0.0005110617734314203    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4349.240783198961     All      -0.001155013682345588     0.0012708474808367156     0.0019550315717804644      0.0008774268692235269     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6490.9840546941505    All      -0.0002238615646924005    0.00016056066561394742    -0.00016262571373059628    0.00011796172883558836    
MWEBV         All|All|All                                      All                   All      -0.8339385133214803       -3.8817600820955533       0.8305936902318178         -0.9557101736847928       
Redshift      All|All|All                                      All                   All      4.871829448086047         -3.4459429003193875       9.374391956900373          -2.2910360424462817       
