#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4769.7971428267465    All      -1.117091729436991         1.21566882664359           0.15236395117347581       0.7666561620167255         
Zeropoint     AB|PS|PS_r                6057.3185693380165    All      1.1917081971350434         -0.028847293235134686      -0.967824344592896        -0.44076463373921987       
Zeropoint     AB|PS|PS_i                7336.72466154174      All      0.6498949105546619         -0.11016809182544662       1.0023184698761032        -0.2028486553768998        
Zeropoint     AB|PS|PS_z                8431.686847003857     All      0.2757639700825545         -0.07815338815779782       -0.1650819249899209       -0.122649375232564         
Check         All|All|All               All                   All      1.0002753483352689         0.9985000534252109         0.021776151466762067      0.00039349766804180897     
Lambda        AB|PS|PS_g                4769.7971428267465    All      -0.00015952980102164888    -0.00013089126444541221    -0.0016235141037521143    -6.312146437713452e-05     
Lambda        AB|PS|PS_r                6057.3185693380165    All      -0.00012111847686252888    -1.0814716804002662e-06    -7.283701587477215e-05    3.584962019781265e-05      
Lambda        AB|PS|PS_i                7336.72466154174      All      -0.00020054109845681572    2.2218797813840914e-06     -0.0009733081514500038    2.2612300159462304e-05     
Lambda        AB|PS|PS_z                8431.686847003857     All      0.00021384968588811692     -6.791412468833533e-05     -0.0002513331790451058    -0.00010299558830802338    
MWEBV         All|All|All               All                   All      -0.7118816656456688        -4.033109139063473         0.06524826225318703       -1.078921322960625         
Redshift      All|All|All               All                   All      4.150825383481857          1.7487867830372927         9.072998928523011         -0.3775367254843363        
