#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4769.7971428267465    All      -1.120974618044631         1.196486661715923          0.11454319220567388        0.7599849176197823        
Zeropoint     AB|PS|PS_r                6057.3185693380165    All      1.1175762832376004         -0.005291470149959565      -1.5488962711109666        -0.43487509528656754      
Zeropoint     AB|PS|PS_i                7336.72466154174      All      0.7403760217252449         -0.12427509147752147       1.589848044219755          -0.21069769744125733      
Zeropoint     AB|PS|PS_z                8431.686847003857     All      0.27176677804608596        -0.07138360328742266       -0.02905732866425037       -0.1130720636353456       
Check         All|All|All               All                   All      1.0087444649643003         0.9955364968010194         0.1264376366502118         0.0013400612566118048     
Lambda        AB|PS|PS_g                4769.7971428267465    All      -0.00016446840611699236    -0.00014093797303012224    -0.0014924975537273487     -5.893867484487839e-05    
Lambda        AB|PS|PS_r                6057.3185693380165    All      -0.000200295746877798      -1.0757464448828744e-05    -5.027059153678467e-05     5.9495508595579726e-05    
Lambda        AB|PS|PS_i                7336.72466154174      All      -0.0002487709091211541     1.5522488528537863e-07     -0.0013044371349394193     2.2872393003172327e-05    
Lambda        AB|PS|PS_z                8431.686847003857     All      0.00021313153934559697     -6.529531242230716e-05     -0.00018796729638112758    -9.908090272707447e-05    
MWEBV         All|All|All               All                   All      -0.705898617905206         -4.034621347588541         0.14732526836399584        -1.0777000546962436       
Redshift      All|All|All               All                   All      4.785862424047167          1.6976281335683296         8.542274165799713          -0.6247370455258231       
