#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|NB99|NB99_r11    6310.033714784098     All      0.01665938751771004        0.0011172163771888677      -1.2205571156085615        -0.05953045471625215       
Zeropoint     Linear_AB11_off|NB99|NB99_v11    5316.094496791312     All      -0.10527564382348081       0.1255047265850351         -1.7830901849513636        -0.00439836642665177       
Zeropoint     Linear_AB11_off|NB99|NB99_b1     4083.1981533738044    All      -0.3178427915609672        0.22629849218134268        0.13749785881940757        0.18338061576565756        
Zeropoint     Linear_AB11_off|NB99|NB99_i1     7629.547390251952     All      0.12923936192092214        -0.02467680364759417       0.15940603725431157        -0.04302199949989434       
Zeropoint     Linear_AB11_off|NB99|NB99_b10    4234.8176267970985    All      -0.3469550133635363        0.13243623664420667        1.0654789237513451         0.20370093243051376        
Zeropoint     Linear_AB11_off|NB99|NB99_r1     6277.627655488484     All      0.32285756035985297        0.013422944539787096       -0.43524690049667747       -0.12021610462153443       
Zeropoint     Linear_AB11_off|NB99|NB99_v5     5262.1797333013       All      0.17310936135618737        0.06903532626587605        0.25485032045329814        -0.022527537846322304      
Zeropoint     Linear_AB11_off|NB99|NB99_r10    7056.1052927767005    All      0.42022422956694944        -0.09617501897309921       0.956038227695194          -0.12554462910286876       
Zeropoint     Linear_AB11_off|NB99|NB99_i10    7580.188147167423     All      0.19754299410637408        -0.0646223531743928        0.5943033101562356         -0.05887485139718651       
Zeropoint     Linear_AB11_off|NB99|NB99_i11    7576.707541505157     All      0.03267540754850108        -0.02038559056884992       -0.25480637268760487       -0.028654550871515597      
Zeropoint     Linear_AB11_off|NB99|NB99_b5     4204.6410197346395    All      -0.181282403248162         0.11310065030656347        0.2671503937182296         0.10781194055183158        
Zeropoint     Linear_AB11_off|NB99|NB99_r5     6301.275919173855     All      0.2839604281168911         -0.027674425941448533      0.41493962168190346        -0.08299287488205825       
Zeropoint     Linear_AB11_off|NB99|NB99_v10    5190.0583464888205    All      0.4273239487263388         0.14344343046559516        1.6001060343891482         -0.02106384089557989       
Zeropoint     Linear_AB11_off|NB99|NB99_v1     5274.120295625678     All      0.17241133175227558        0.23331685216243514        -0.653030084610634         -0.009302801687784135      
Zeropoint     Linear_AB11_off|NB99|NB99_b11    4189.790300030449     All      -0.21989449232812966       0.17596310750791488        -1.0840364552775428        0.0805682753951209         
Check         All|All|All                      All                   All      1.0047536666477266         1.0001047907305605         0.01900361428668851        -0.0006662478045243031     
Lambda        Linear_AB11_off|NB99|NB99_r11    6310.033714784098     All      1.0674314606174115e-05     -1.2605329305744612e-05    0.00011381697976005756     -2.5038168354367563e-06    
Lambda        Linear_AB11_off|NB99|NB99_v11    5316.094496791312     All      -8.77392847599368e-05      0.00010208878415980151     -0.0012931745480601181     4.124806461075606e-06      
Lambda        Linear_AB11_off|NB99|NB99_b1     4083.1981533738044    All      -0.00026717533674330666    0.00012680198494409794     -0.00012144231957645663    0.00012291196218417916     
Lambda        Linear_AB11_off|NB99|NB99_i1     7629.547390251952     All      -3.075246761341822e-05     3.257457570476038e-08      -5.6054144837814514e-05    7.526262002065927e-06      
Lambda        Linear_AB11_off|NB99|NB99_b10    4234.8176267970985    All      -0.0003094357358859289     -1.8011066789201212e-05    0.0004420409842839475      0.00011465286121942296     
Lambda        Linear_AB11_off|NB99|NB99_r1     6277.627655488484     All      -9.937200987600832e-05     -6.589449562369927e-06     -0.00014479849708162154    2.37606404604092e-05       
Lambda        Linear_AB11_off|NB99|NB99_v5     5262.1797333013       All      -1.4021037212304378e-06    1.7953913028376525e-05     -0.00013701959731787146    1.9033612933503992e-07     
Lambda        Linear_AB11_off|NB99|NB99_r10    7056.1052927767005    All      -0.0001860997159034598     4.956729743185023e-05      -0.0004720686749221466     5.5698242628982404e-05     
Lambda        Linear_AB11_off|NB99|NB99_i10    7580.188147167423     All      -7.978189406482307e-05     2.5621302724820452e-05     -0.0002557972283301479     2.2918233390362625e-05     
Lambda        Linear_AB11_off|NB99|NB99_i11    7576.707541505157     All      -1.6134103217718284e-06    1.7966959427626109e-06     2.8718795189281282e-05     2.392371728164813e-06      
Lambda        Linear_AB11_off|NB99|NB99_b5     4204.6410197346395    All      -0.00014646240935659613    4.633346934004769e-05      -0.00010720897628959301    5.801571626871973e-05      
Lambda        Linear_AB11_off|NB99|NB99_r5     6301.275919173855     All      -7.316537495651868e-05     1.4422156789689376e-05     -0.00014521822110205885    2.204971838932443e-05      
Lambda        Linear_AB11_off|NB99|NB99_v10    5190.0583464888205    All      0.00022665728552973515     5.046702382334132e-05      0.0007921908757747636      -2.20391243404727e-05      
Lambda        Linear_AB11_off|NB99|NB99_v1     5274.120295625678     All      -3.4073610161080838e-06    5.964465131539246e-05      -0.0009970878695784106     -2.395733739437841e-05     
Lambda        Linear_AB11_off|NB99|NB99_b11    4189.790300030449     All      -0.00022623703482872775    0.00018657251695916016     -0.0011403564208249978     8.357678245435284e-05      
MWEBV         All|All|All                      All                   All      -0.7584765720003563        -3.873804560141103         0.12087103166358859        -1.0093708979813796        
Redshift      All|All|All                      All                   All      7.8292109923846045         -1.5226698807800254        12.319713188347174         -2.4964430509319437        
