#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5599.804332111952    All      0.5769689105514959        0.5022530962486726        -2.1181976251238743       -0.11886283027517722      
Zeropoint     AB|SDSS|SDSS_u            3259.02841532969     All      -0.034627324341999194     0.04253152776243496       0.27831262128924505       0.03755299062575268       
Zeropoint     AB|SDSS|SDSS_g            4285.451751663575    All      -0.9575893239331189       0.7617886004410934        0.07098839431301518       0.5632258418225067        
Zeropoint     AB|SDSS|SDSS_i            6790.741498803482    All      1.211245325496801         -0.26354895109026444      1.6084222559330175        -0.40861251710887364      
Zeropoint     AB|SDSS|SDSS_z            8073.6255750155      All      0.20352962063395422       -0.04895022900406332      0.21022426787886683       -0.07285964981713772      
Check         All|All|All               All                  All      0.9995272084071328        0.9940740443578733        0.0497499142902702        0.0004438352470708118     
Lambda        AB|SDSS|SDSS_r            5599.804332111952    All      -0.0001004179508440945    0.00015939174554565054    -0.0026707329866646266    -3.455398136264131e-05    
Lambda        AB|SDSS|SDSS_u            3259.02841532969     All      -2.563692054733325e-05    3.728184651799814e-05     0.00034973290237508026    3.610168556700892e-05     
Lambda        AB|SDSS|SDSS_g            4285.451751663575    All      -0.0008897894006280134    0.00046651154149235716    -0.001434574750885308     0.0003777733554557275     
Lambda        AB|SDSS|SDSS_i            6790.741498803482    All      -0.000813990752216069     0.00015218256528707429    -0.0020566879898523396    0.00022293389670793902    
Lambda        AB|SDSS|SDSS_z            8073.6255750155      All      1.595725949298038e-05     7.737258600740011e-06     0.00011362113845968869    2.3928648458426663e-06    
MWEBV         All|All|All               All                  All      -0.7106959133261781       -3.5932028117272807       0.4877784664338469        -0.9171600157979367       
Redshift      All|All|All               All                  All      5.16763322988312          -0.6247567407486443       12.99661617792977         -1.3067926886825363       
