#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5599.804332111952    All      0.7081902967495228         0.4651929064351634        -1.656175525526471        -0.15305975156725926      
Zeropoint     AB|SDSS|SDSS_u            3259.02841532969     All      -0.04803954911438496       0.05726250795898835       0.32100972078981105       0.0486255338181034        
Zeropoint     AB|SDSS|SDSS_g            4285.451751663575    All      -0.8627104826313754        0.6619224965403347        -0.2702728320895927       0.48456208507343196       
Zeropoint     AB|SDSS|SDSS_i            6790.741498803482    All      1.0464833535724238         -0.16419641556630893      1.4508950130224947        -0.32961145027838795      
Zeropoint     AB|SDSS|SDSS_z            8073.6255750155      All      0.15204075857252522        -0.019852888257076984     0.16732140179056051       -0.048524630222897526     
Check         All|All|All               All                  All      0.9959643771487112         1.0003286071111006        0.012777777986802658      0.0019917868229906363     
Lambda        AB|SDSS|SDSS_r            5599.804332111952    All      -0.00015881674831627973    0.00012476837370847542    -0.0020067667535444995    2.820220452494685e-06     
Lambda        AB|SDSS|SDSS_u            3259.02841532969     All      -3.8149836026738916e-05    4.696886481903087e-05     0.0003144544550952357     4.175861928137365e-05     
Lambda        AB|SDSS|SDSS_g            4285.451751663575    All      -0.00071184080656361       0.00033689164294410597    -0.0012718692081085683    0.00028484897980353164    
Lambda        AB|SDSS|SDSS_i            6790.741498803482    All      -0.0007449615028441239     0.00011990371232164569    -0.0015906942532804386    0.00021072967507047215    
Lambda        AB|SDSS|SDSS_z            8073.6255750155      All      2.3437336436178917e-05     -6.590377238214828e-08    5.091142517313288e-05     -5.383835491805167e-06    
MWEBV         All|All|All               All                  All      -0.7116447523523597        -3.583050900729212        0.47189570014378673       -0.9142529112238286       
Redshift      All|All|All               All                  All      4.727328973358002          -0.3699725259671993       6.943724835090051         -1.3504922465530504       
