#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5172.705395312588    All      3.715177028320051         0.1126135697102626        0.42880544635751916       -1.1543378216478204       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4319.583402344708    All      -2.7199695500963763       0.8895139481571945        -0.4313202984487924       1.1564796799238066        
Check         All|All|All                            All                  All      0.9952074782236748        1.0021275178674571        -0.002514852091273223     0.0021418582759862304     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5172.705395312588    All      0.0018491624804994572     -0.0001550552570575726    -0.0021070178377127265    -0.0007468661828415875    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4319.583402344708    All      -0.0010044766052249448    0.00016607097513394341    -0.001585669335357092     0.000310524717073279      
MWEBV         All|All|All                            All                  All      -0.06354790836859525      -2.301906723453939        0.007448500012824377      -0.7287747135451424       
Redshift      All|All|All                            All                  All      0.8404903803679805        -0.2366896979079769       0.9870935935112596        -0.3068235361449234       
