#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3946.055622575461     All      -1.1387919943828981        0.3509402069889589         -0.16318674666340321       0.47797251370650523       
Zeropoint     AB|MEGACAMPSF|i           4823.2118668454505    All      1.8412139868600887         0.5573826713906271         0.09948879651118236        -0.4137463681913452       
Zeropoint     AB|MEGACAMPSF|z           5557.574517874727     All      0.6243273664252574         0.03301680500129578        -0.23118188673358214       -0.20292588922034607      
Zeropoint     AB|MEGACAMPSF|g           3097.905326527252     All      -0.3430159278404802        0.05884249201955072        0.30357728061436784        0.14444576785153074       
Check         All|All|All               All                   All      0.9837334310619678         1.0001821754004325         0.008697443728564846       0.005746024146344703      
Lambda        AB|MEGACAMPSF|r           3946.055622575461     All      -0.0010659124233866851     0.00024251898371376328     -0.0011781406767682        0.00037362414800755866    
Lambda        AB|MEGACAMPSF|i           4823.2118668454505    All      -0.00023327663474386663    -0.0001659330233531389     -0.001686153059172033      -5.33092370409905e-05     
Lambda        AB|MEGACAMPSF|z           5557.574517874727     All      -8.567578921442846e-05     -2.0718836321139597e-05    -0.00023253214570061585    1.0781774896516124e-05    
Lambda        AB|MEGACAMPSF|g           3097.905326527252     All      -0.0010876578591004764     0.0001650267508225776      0.00051648003610696        0.0004310887214559308     
MWEBV         All|All|All               All                   All      -0.35272266225149584       -2.147744700597265         0.08397028390991074        -0.5809505242508506       
Redshift      All|All|All               All                   All      3.1521674897715446         0.2366116818038222         1.6091729940354806         -0.8778824455325281       
