#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3946.055622575461     All      -1.1850015038846502        0.32164285735749587        -0.6682699338316149       0.4609418176896466        
Zeropoint     AB|MEGACAMPSF|i           4823.2118668454505    All      1.8680862801406568         0.5827913794835382         0.591531994358175         -0.39226547799024386      
Zeropoint     AB|MEGACAMPSF|z           5557.574517874727     All      0.6506875140560737         0.04751014030421885        -0.016837236103797296     -0.19722608309383555      
Zeropoint     AB|MEGACAMPSF|g           3097.905326527252     All      -0.348571134812959         0.04815931951167585        0.1037089629131798        0.13385621571457346       
Check         All|All|All               All                   All      0.985201155499121          1.0001036966569288         0.010133787335942626      0.005306472320140643      
Lambda        AB|MEGACAMPSF|r           3946.055622575461     All      -0.0011001957925610036     0.00023957338403439798     -0.0012707009969574047    0.000379701348538188      
Lambda        AB|MEGACAMPSF|i           4823.2118668454505    All      -0.00024132567382293817    -0.00014960600884672952    -0.0015697080066219952    -4.017274655733053e-05    
Lambda        AB|MEGACAMPSF|z           5557.574517874727     All      -7.792313843345169e-05     -8.517690997195256e-06     -8.169850252208918e-05    1.8961808661475642e-05    
Lambda        AB|MEGACAMPSF|g           3097.905326527252     All      -0.001006348486492112      0.00012821286382653924     9.21264718404056e-05      0.00037367513907517484    
MWEBV         All|All|All               All                   All      -0.3565219555228385        -2.144186619369748         0.14173288064705164       -0.5759763059277732       
Redshift      All|All|All               All                   All      2.886738878035584          0.25354603778176           2.2221233635053674        -0.7585543776721788       
