#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4231.393844990121     All      -0.6042983016005952        0.3379641306154646         -0.32869789039780595       0.29225759649236493        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4555.941419793495     All      -0.5425188652505155        0.5056978061109163         0.24901585450079494        0.3525510890645084         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7287.813438433001     All      0.56382391806493           -0.10640836229924844       0.1754692850250371         -0.2104863154122959        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5302.7172921016345    All      0.27985991983533737        0.37203033720301093        0.19662907845471544        0.03879758994005524        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6005.731241144051     All      1.3018288111951253         -0.11246189952442975       -0.29130119545213656       -0.47368044771872897       
Check         All|All|All                      All                   All      0.9986954822442823         0.9968220121057136         0.0011151321306049344      -0.0005604876340963294     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4231.393844990121     All      -0.00020585930786808294    0.00011849276272708294     -0.00012575079266062046    0.00010004045993506869     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4555.941419793495     All      -0.00026720101351994016    0.00013364544294827162     -0.000462448940852008      0.0001099319060493442      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7287.813438433001     All      -2.8280562968037402e-05    -5.1378453230986163e-05    -0.0004225046939778082     -2.6378186755019053e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5302.7172921016345    All      2.4717479309529465e-05     6.992130629637032e-05      -0.0006281946372700906     -1.3309067856404419e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6005.731241144051     All      -0.0001055275282478243     -7.427145288006988e-05     -0.0006991712067451706     -2.1019667738219525e-05    
MWEBV         All|All|All                      All                   All      -0.8171035926985222        -3.9417123897144357        0.015473446046942953       -1.0170973729340334        
Redshift      All|All|All                      All                   All      4.5231348583625            -0.2951273182059566        4.472104760335693          -1.3698970112060151        
