#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4107.3838874029125    All      -0.9757134803712602        0.782203177694285          0.4180132014594218         0.5912652985881062         
Zeropoint     AB|SDSS|SDSS_z            7738.152596600753     All      0.1938515464627729         -0.003868929244710273      0.3246068325291507         -0.04991835167784675       
Zeropoint     AB|SDSS|SDSS_i            6508.574552233898     All      1.3182878645049885         -0.05458112554848071       0.7111749110791044         -0.41545212613538496       
Zeropoint     AB|SDSS|SDSS_r            5367.122865727528     All      0.4864982192412035         0.2590219780490344         -1.491298242715433         -0.1406462867896363        
Zeropoint     AB|SDSS|SDSS_u            3123.6101996754614    All      -0.024380722956212676      0.016625521677227084       0.04640544637644073        0.015427944881762912       
Check         All|All|All               All                   All      0.998543426881492          0.9994006226273555         0.008902148728684445       0.0006764788670010624      
Lambda        AB|SDSS|SDSS_g            4107.3838874029125    All      -0.0011553418358399925     0.0008072626336931652      -0.00036377581602430026    0.0006230511995888693      
Lambda        AB|SDSS|SDSS_z            7738.152596600753     All      1.4986771528078467e-05     2.0447809750268632e-06     4.563666741020354e-05      -2.1790772370859014e-06    
Lambda        AB|SDSS|SDSS_i            6508.574552233898     All      -0.00043640321044147883    -5.383897231658016e-05     -0.0012244580370553229     6.997181988544607e-05      
Lambda        AB|SDSS|SDSS_r            5367.122865727528     All      0.00034062232531639286     0.0001377930835116162      -0.0010156702650634976     -0.00011139285606465011    
Lambda        AB|SDSS|SDSS_u            3123.6101996754614    All      -4.8136558532007765e-06    -2.1041629285012964e-06    -1.643586749256854e-05     1.4911370625980124e-07     
MWEBV         All|All|All               All                   All      -0.5775665890876773        -3.458370635585517         0.014732875285039526       -0.9377151930240357        
Redshift      All|All|All               All                   All      6.7481163096783625         -2.08897082216275          12.056731135784581         -2.340493474344829         
